"Variable name","Description","Values"
"RecordedDate","Recorded date",""
"mani_1","Manipulation check financial stress - 1","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"mani_2","Manipulation check financial stress - 2","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"mani_3","Manipulation check financial stress - 3","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"quit_1","Quit intention - 1","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"quit_2","Quit intention - 2","[1] Extremely unlikely, [2] Somewhat unlikely, [3] Neither likely nor unlikely, [4] Somewhat likely, [5] Extremely likely"
"quit_3","Quit intention - 3","[1] Extremely unlikely, [2] Somewhat unlikely, [3] Neither likely nor unlikely, [4] Somewhat likely, [5] Extremely likely"
"year_1","Year of business foundation","[1] 2021, [2] 2020, [3] 2019, [4] 2018, [5] 2017, [6] 2016, [7] 2015, [8] 2014, [9] 2013, [10] 2012, [11] 2011, [12] 2010, [13] 2009, [14] 2008, [15] 2007, [16] 2006, [17] 2005, [18] 2004, [19] 2003, [20] 2002, [21] 2001, [22] 2000, [23] 1999, [24] 1998, [25] 1997, [26] 1996, [27] 1995, [28] 1994, [29] 1993, [30] 1992, [31] 1991, [32] 1990, [33] 1989, [34] 1988, [35] 1987, [36] 1986, [37] 1985, [38] 1984, [39] 1983, [40] 1982, [41] 1981, [42] 1980, [43] 1979, [44] 1978, [45] 1977, [46] 1976, [47] 1975"
"month_1","Month of business foundation","[1] Jan, [2] Feb, [3] Mar, [4] Apr, [5] May, [6] Jun, [7] Jul, [8] Aug, [9] Sep, [10] Oct, [11] Nov, [12] Dec"
"found","Were you involved in founding the business for which you currently work self-employed?","[1] Yes, I was involved in founding the business., [2] No, I was not involved in founding the business."
"coown","Are you the only owner of the business?","[1] Yes, I am the only owner of the business., [2] No, there exist other owners beside me."
"indu","In which sector or industry does your current business operate? - Selected Choice","[1] Information, Communications, or Technology, [2] Finance, Real Estate, or Business Services, [3] Health, Education, Government, or Social and Consumer Services, [4] Wholesale, Retail, [5] Manufacturing, Logistics, [6] Agriculture, Extractive, or Construction, [7] Other, namely:"
"locat","Business location","[1] Afghanistan, [2] Albania, [3] Algeria, [4] Andorra, [5] Angola, [6] Antigua and Barbuda, [7] Argentina, [8] Armenia, [9] Australia, [10] Austria, [11] Azerbaijan, [12] Bahamas, [13] Bahrain, [14] Bangladesh, [15] Barbados, [16] Belarus, [17] Belgium, [18] Belize, [19] Benin, [20] Bhutan, [21] Bolivia, [22] Bosnia and Herzegovina, [23] Botswana, [24] Brazil, [25] Brunei Darussalam, [26] Bulgaria, [27] Burkina Faso, [28] Burundi, [29] Cambodia, [30] Cameroon, [31] Canada, [32] Cape Verde, [33] Central African Republic, [34] Chad, [35] Chile, [36] China, [37] Colombia, [38] Comoros, [39] Congo, Republic of the..., [40] Costa Rica, [41] C̫te d'Ivoire, [42] Croatia, [43] Cuba, [44] Cyprus, [45] Czech Republic, [46] Democratic People's Republic of Korea, [47] Democratic Republic of the Congo, [48] Denmark, [49] Djibouti, [50] Dominica, [51] Dominican Republic, [52] Ecuador, [53] Egypt, [54] El Salvador, [55] Equatorial Guinea, [56] Eritrea, [57] Estonia, [58] Ethiopia, [59] Fiji, [60] Finland, [61] France, [62] Gabon, [63] Gambia, [64] Georgia, [65] Germany, [66] Ghana, [67] Greece, [68] Grenada, [69] Guatemala, [70] Guinea, [71] Guinea-Bissau, [72] Guyana, [73] Haiti, [74] Honduras, [75] Hong Kong (S.A.R.), [76] Hungary, [77] Iceland, [78] India, [79] Indonesia, [80] Iran, Islamic Republic of..., [81] Iraq, [82] Ireland, [83] Israel, [84] Italy, [85] Jamaica, [86] Japan, [87] Jordan, [88] Kazakhstan, [89] Kenya, [90] Kiribati, [91] Kuwait, [92] Kyrgyzstan, [93] Lao People's Democratic Republic, [94] Latvia, [95] Lebanon, [96] Lesotho, [97] Liberia, [98] Libyan Arab Jamahiriya, [99] Liechtenstein, [100] Lithuania, [101] Luxembourg, [102] Madagascar, [103] Malawi, [104] Malaysia, [105] Maldives, [106] Mali, [107] Malta, [108] Marshall Islands, [109] Mauritania, [110] Mauritius, [111] Mexico, [112] Micronesia, Federated States of..., [113] Monaco, [114] Mongolia, [115] Montenegro, [116] Morocco, [117] Mozambique, [118] Myanmar, [119] Namibia, [120] Nauru, [121] Nepal, [122] Netherlands, [123] New Zealand, [124] Nicaragua, [125] Niger, [126] Nigeria, [127] North Korea, [128] Norway, [129] Oman, [130] Pakistan, [131] Palau, [132] Panama, [133] Papua New Guinea, [134] Paraguay, [135] Peru, [136] Philippines, [137] Poland, [138] Portugal, [139] Qatar, [140] Republic of Korea, [141] Republic of Moldova, [142] Romania, [143] Russian Federation, [144] Rwanda, [145] Saint Kitts and Nevis, [146] Saint Lucia, [147] Saint Vincent and the Grenadines, [148] Samoa, [149] San Marino, [150] Sao Tome and Principe, [151] Saudi Arabia, [152] Senegal, [153] Serbia, [154] Seychelles, [155] Sierra Leone, [156] Singapore, [157] Slovakia, [158] Slovenia, [159] Solomon Islands, [160] Somalia, [161] South Africa, [162] South Korea, [163] Spain, [164] Sri Lanka, [165] Sudan, [166] Suriname, [167] Swaziland, [168] Sweden, [169] Switzerland, [170] Syrian Arab Republic, [171] Tajikistan, [172] Thailand, [173] The former Yugoslav Republic of Macedonia, [174] Timor-Leste, [175] Togo, [176] Tonga, [177] Trinidad and Tobago, [178] Tunisia, [179] Turkey, [180] Turkmenistan, [181] Tuvalu, [182] Uganda, [183] Ukraine, [184] United Arab Emirates, [185] United Kingdom of Great Britain and Northern Ireland, [186] United Republic of Tanzania, [187] United States of America, [188] Uruguay, [189] Uzbekistan, [190] Vanuatu, [191] Venezuela, Bolivarian Republic of..., [192] Viet Nam, [193] Yemen, [194] Zambia, [195] Zimbabwe"
"age_1","How old are you (in years)? - years","[1] 18, [2] 19, [3] 20, [4] 21, [5] 22, [6] 23, [7] 24, [8] 25, [9] 26, [10] 27, [11] 28, [12] 29, [13] 30, [14] 31, [15] 32, [16] 33, [17] 34, [18] 35, [19] 36, [20] 37, [21] 38, [22] 39, [23] 40, [24] 41, [25] 42, [26] 43, [27] 44, [28] 45, [29] 46, [30] 47, [31] 48, [32] 49, [33] 50, [34] 51, [35] 52, [36] 53, [37] 54, [38] 55, [39] 56, [40] 57, [41] 58, [42] 59, [43] 60, [44] 61, [45] 62, [46] 63, [47] 64, [48] 65, [49] 66, [50] 67, [51] 68, [52] 69, [53] 70, [54] 71, [55] 72, [56] 73, [57] 74, [58] 75, [59] 76, [60] 77, [61] 78, [62] 79, [63] 80, [64] 81, [65] 82, [66] 83, [67] 84, [68] 85, [69] 86, [70] 87, [71] 88, [72] 89, [73] 90, [74] 91, [75] 92, [76] 93, [77] 94, [78] 95, [79] 96, [80] 97, [81] 98, [82] 99, [83] 100"
"gender","Please indicate your gender.","[1] Male, [2] Female, [3] Otherwise identified"
"edu","What is the highest level of education you have achieved? - Selected Choice","[1] Primary School, [2] Secondary School, [3] (Technical) Secondary School Diploma, [4] University Degree, [5] Doctorate Degree, [6] Other, namely"
"exp_cond","Experimental or control condition",""
