"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
2,"",4,2,4,2,1,1,1,5,4,5,5,4,2,1,7,"Jewellery",185,43,2,1,"",5,"",3226,2,"",1,NA,"",NA,4,4,4,4,2,2,1,4,5,2,4,2
2,"",4,1,1,2,1,1,2,2,3,2,3,4,2,2,4,"",185,23,2,1,"",4,"",182,2,"",1,NA,"",NA,4,2,2,3,2,3,1,1,3,4,5,4
1,"",3,2,3,3,3,3,3,5,5,3,5,3,1,2,7,"food service",185,40,2,1,"",4,"",4138,1,"",1,NA,"",NA,5,2,2,4,3,3,3,5,5,2,5,3
1,"",3,2,4,1,3,2,4,4,4,4,5,4,2,2,1,"",185,33,2,1,"",3,"",1400,2,"",1,NA,"",NA,4,4,4,2,2,2,4,4,4,4,4,4
2,"",3,2,2,1,2,1,2,2,2,4,4,4,2,1,2,"",185,44,2,1,"",4,"",762,2,"",1,NA,"",NA,2,2,2,2,2,2,2,2,2,4,4,4
1,"",3,3,4,2,2,1,5,5,4,4,5,3,2,1,3,"",185,45,1,2,"Greek",5,"",3165,1,"",1,NA,"",NA,4,3,4,2,3,1,5,5,4,4,5,3
1,"",3,2,2,2,2,2,2,2,2,4,4,5,2,1,1,"",185,38,2,1,"",4,"",1522,1,"",1,NA,"",NA,2,1,2,1,2,1,2,3,2,5,5,4
1,"",4,4,4,4,3,3,4,5,4,4,4,3,2,1,7,"Writing services",185,23,2,1,"",2,"",457,1,"",1,NA,"",NA,5,3,4,1,1,1,5,5,5,4,5,4
1,"",4,4,4,1,1,1,2,4,3,5,5,5,2,1,7,"Pet services",185,57,2,1,"",4,"",61,1,"",1,NA,"",NA,5,3,4,1,1,1,2,3,3,5,5,5
1,"",4,3,3,3,2,1,4,2,4,5,5,4,1,2,1,"",185,37,2,1,"",4,"",4383,2,"",1,NA,"",NA,4,3,3,4,4,1,5,2,4,5,5,5
2,"",4,4,5,2,4,1,2,4,5,3,2,2,2,1,2,"",185,41,2,1,"",4,"",4110,2,"",1,NA,"",NA,4,4,5,4,1,1,4,4,4,2,2,4
1,"",4,4,4,3,2,2,3,5,4,3,2,2,2,1,1,"",185,49,1,1,"",4,"",882,1,"",1,NA,"",NA,4,4,4,4,4,3,2,4,4,3,4,3
1,"",5,4,4,2,4,3,3,2,2,4,4,4,2,1,7,"Design",185,29,1,1,"",4,"",3165,1,"",1,NA,"",NA,2,4,3,3,4,3,4,3,4,4,4,4
2,"",5,4,4,2,3,2,1,2,5,4,5,4,2,1,4,"",185,38,2,1,"",4,"",3042,2,"",1,NA,"",NA,5,4,4,2,2,2,1,1,2,4,5,3
1,"",4,2,4,4,4,2,4,3,2,4,5,4,2,1,4,"",185,44,1,2,"German",4,"",5449,1,"",1,NA,"",NA,4,1,3,2,2,2,2,3,2,4,4,3
1,"",3,4,5,3,4,5,3,1,1,3,4,3,1,1,5,"",185,36,1,1,"",4,"",1004,2,"",1,NA,"",NA,4,4,4,3,4,1,4,4,4,2,4,3
1,"",1,1,1,1,1,1,1,4,4,5,5,5,2,1,2,"",185,44,2,1,"",4,"",3653,1,"",1,NA,"",NA,1,1,1,1,1,1,3,4,4,5,5,5
2,"",5,5,5,1,1,1,5,5,5,4,4,4,2,1,1,"",185,29,2,1,"",3,"",731,2,"",1,NA,"",NA,4,5,5,1,1,1,5,5,5,4,4,4
1,"",4,1,1,1,1,1,5,5,5,4,5,4,1,2,6,"",185,51,2,1,"",4,"",4534,2,"",1,NA,"",NA,4,1,1,1,1,1,5,4,4,5,5,5
1,"",4,3,4,4,4,4,3,4,4,4,5,4,2,1,2,"",185,53,2,1,"",4,"",4687,1,"",1,NA,"",NA,4,4,4,4,4,3,3,4,4,4,4,4
1,"",5,1,1,1,1,1,4,2,1,5,5,5,2,1,1,"",185,41,1,1,"",4,"",517,1,"",1,NA,"",NA,4,2,4,1,1,1,5,2,4,5,5,5
1,"",2,1,2,1,1,1,1,5,2,4,5,4,2,1,7,"Illustration",185,47,1,1,"",4,"",609,1,"",1,NA,"",NA,4,1,2,1,1,1,2,5,5,5,5,4
1,"",3,3,3,3,3,4,3,3,4,3,3,4,1,1,3,"",185,32,1,1,"",2,"",1247,1,"",1,NA,"",NA,3,3,2,2,3,2,3,4,4,3,4,2
1,"",3,2,2,1,2,1,3,3,5,5,5,5,2,2,4,"",185,34,2,2,"Filipino",4,"",1581,1,"",1,NA,"",NA,2,1,1,1,1,1,3,4,4,5,5,4
1,"",4,3,4,2,4,2,4,4,4,5,5,5,1,1,7,"Consulting",185,25,1,1,"",4,"",1947,1,"",1,NA,"",NA,4,4,2,1,1,1,5,5,5,5,5,4
1,"",5,5,5,4,3,2,4,4,4,2,2,3,2,1,1,"",185,38,2,1,"",4,"",1339,1,"",1,NA,"",NA,5,4,4,4,2,2,4,4,4,1,2,2
1,"",3,2,2,1,2,1,5,5,5,5,5,5,2,1,3,"",185,39,2,1,"",3,"",2496,1,"",1,NA,"",NA,4,2,3,4,4,4,3,4,4,4,4,3
1,"",3,4,4,3,2,1,3,4,4,4,5,4,2,1,1,"",185,53,1,1,"",4,"",670,1,"",1,NA,"",NA,5,4,4,4,2,1,4,5,5,5,5,5
2,"",1,1,1,1,3,3,2,4,3,4,4,3,1,2,7,"Personal services",185,24,2,1,"",4,"",2100,2,"",1,NA,"",NA,3,2,2,2,2,2,2,1,1,4,3,3
2,"",4,3,3,3,4,2,2,3,4,3,1,2,1,2,7,"Tourism",185,26,2,1,"",4,"",731,2,"",1,NA,"",NA,2,4,4,3,3,2,2,4,4,3,4,3
1,"",4,4,4,4,2,2,2,3,4,2,4,3,2,1,7,"Art",185,45,2,1,"",4,"",457,1,"",1,NA,"",NA,5,5,5,5,5,4,2,5,4,2,4,4
1,"",4,5,5,2,2,1,5,5,5,3,4,2,2,1,7,"pet",185,40,2,1,"",3,"",1887,1,"",1,NA,"",NA,5,5,5,1,1,1,4,4,5,3,4,3
2,"",4,4,4,1,1,1,4,4,5,5,5,5,2,1,7,"Printmaking/Bookbinding/Design",185,36,2,1,"",5,"",1247,1,"",1,NA,"",NA,5,4,5,1,1,1,4,4,4,4,5,4
1,"",4,3,4,3,2,1,4,4,4,4,4,4,2,1,6,"",185,34,1,1,"",3,"",792,1,"",1,NA,"",NA,4,4,4,3,3,3,4,4,4,4,4,4
1,"",2,1,1,1,1,1,5,5,5,4,5,3,2,2,4,"",185,52,2,1,"",2,"",5875,1,"",1,NA,"",NA,1,2,3,1,1,1,4,5,3,3,5,3
1,"",4,5,5,2,2,2,4,5,5,5,5,5,2,1,7,"Creative industry",185,28,2,1,"",6,"Master's Degree",396,2,"",1,NA,"",NA,5,4,5,4,3,3,2,5,5,5,5,5
2,"",4,2,3,3,3,1,3,2,4,4,3,4,1,2,2,"",185,26,1,1,"",4,"",1127,1,"",1,NA,"",NA,4,4,4,3,3,2,3,4,4,4,4,4
1,"",3,1,1,2,1,1,3,3,3,5,5,5,2,1,4,"",185,30,2,1,"",2,"",851,1,"",1,NA,"",NA,3,2,2,2,2,2,4,4,4,5,5,4
2,"",3,4,5,4,2,2,1,1,1,4,4,3,2,1,2,"",185,25,2,1,"",3,"",639,2,"",1,NA,"",NA,3,4,5,4,4,2,2,2,4,4,5,3
1,"",2,1,1,1,2,2,2,3,4,5,5,4,2,1,1,"",185,33,1,1,"",4,"",1673,1,"",1,NA,"",NA,1,1,1,4,4,4,2,3,4,5,5,4
1,"",5,5,5,5,4,4,2,4,5,5,4,4,2,1,3,"",185,39,2,1,"",5,"",1400,2,"",1,NA,"",NA,5,3,5,4,2,2,2,2,3,4,4,4
2,"",2,2,4,2,2,2,2,4,4,4,4,3,2,1,7,"Decorative",185,35,2,1,"",4,"",1431,2,"",1,NA,"",NA,2,2,4,2,2,2,2,4,4,4,4,4
1,"",5,5,5,5,4,3,4,5,5,2,2,3,2,1,7,"Design",185,36,2,2,"polish",3,"",1887,1,"",1,NA,"",NA,5,5,5,4,4,4,3,4,4,2,3,2
1,"",4,2,2,2,2,2,4,4,4,4,4,4,2,1,2,"",185,56,2,1,"",2,"",396,1,"",1,NA,"",NA,4,4,4,2,2,2,4,4,4,4,4,4
1,"",4,2,4,2,1,1,4,2,4,4,5,4,2,1,7,"cleaning",185,35,2,1,"",6,"college A2 Level",1216,1,"",1,NA,"",NA,4,2,2,2,1,1,4,2,3,4,5,4
2,"",4,4,4,1,1,1,4,2,2,5,5,5,2,1,4,"",185,53,2,1,"",6,"Some university",1247,2,"",1,NA,"",NA,4,4,5,1,1,1,2,2,1,5,5,5
1,"",3,2,4,1,2,1,2,2,3,5,3,4,2,1,1,"",185,27,1,1,"",4,"",396,1,"",1,NA,"",NA,2,2,3,1,2,1,4,5,4,5,4,4
1,"",2,1,1,1,2,1,5,5,5,5,5,4,1,1,7,"Hospitality",185,34,1,1,"",2,"",1461,1,"",1,NA,"",NA,3,1,2,1,1,1,5,3,4,5,5,4
1,"",3,1,1,1,1,1,3,4,4,3,5,3,2,1,3,"",185,40,2,2,"Polish",4,"",4018,1,"",1,NA,"",NA,1,1,1,1,1,1,3,4,4,4,5,3
1,"",5,5,5,5,4,4,5,5,5,4,4,2,2,1,1,"",185,23,2,1,"",3,"",212,1,"",1,NA,"",NA,5,5,5,2,4,1,4,5,5,4,5,4
1,"",5,4,4,2,1,1,4,5,5,5,5,5,1,2,7,"Industrial design",185,28,1,1,"",6,"Masters degree",851,1,"",1,NA,"",NA,5,4,5,2,3,2,4,5,5,4,5,4
2,"",2,4,4,4,4,2,5,1,4,2,3,3,1,2,5,"",185,30,1,1,"",4,"",1826,1,"",1,NA,"",NA,2,2,4,5,4,4,1,1,1,1,1,4
1,"",2,3,3,1,2,1,4,4,4,5,5,5,2,1,3,"",185,32,2,1,"",4,"",1004,1,"",1,NA,"",NA,2,4,4,4,4,2,4,4,5,4,4,4
2,"",4,2,2,2,2,1,4,4,4,5,5,5,2,1,3,"",185,54,2,1,"",4,"",1612,2,"",1,NA,"",NA,4,2,2,2,1,1,2,4,4,4,4,4
1,"",5,4,5,4,4,4,4,4,4,4,4,2,2,1,4,"",185,36,2,1,"",4,"",1581,1,"",1,NA,"",NA,5,4,4,5,5,4,2,3,3,4,3,3
1,"",4,2,4,2,1,1,5,4,4,4,5,4,2,1,3,"",185,54,1,2,"Portuguese",4,"",3773,1,"",1,NA,"",NA,5,4,5,4,4,2,4,5,5,4,5,4
1,"",2,1,1,1,1,1,4,3,4,5,5,5,2,1,3,"",185,27,2,1,"",4,"",1492,1,"",1,NA,"",NA,2,1,2,1,1,1,4,4,4,4,5,4
2,"",4,4,3,2,3,1,4,3,4,5,5,5,1,2,7,"Entertainment",185,42,2,2,"German",3,"",792,1,"",1,NA,"",NA,4,3,4,3,4,2,4,2,3,1,4,4
1,"",4,5,5,2,1,1,5,5,5,5,5,5,2,1,3,"",185,30,2,1,"",4,"",1734,1,"",1,NA,"",NA,5,3,3,2,1,1,5,5,5,5,5,5
1,"",4,2,2,1,1,1,2,2,3,5,5,5,2,1,3,"",185,43,2,1,"",4,"",1461,1,"",1,NA,"",NA,4,4,4,2,1,1,4,4,4,4,4,4
1,"",4,3,5,2,2,1,4,4,4,3,4,2,2,1,3,"",185,22,2,1,"",4,"",335,2,"",1,NA,"",NA,1,1,3,5,5,2,1,1,1,4,5,3
1,"",4,4,4,1,1,1,5,5,5,5,5,5,2,1,7,"Artisan",185,52,2,1,"",3,"",1369,1,"",1,NA,"",NA,5,2,2,1,1,1,5,4,5,5,5,5
1,"",4,1,1,1,1,1,4,5,5,1,5,5,1,1,6,"",185,41,1,1,"",3,"",7244,1,"",1,NA,"",NA,4,1,1,1,1,1,5,5,5,5,5,5
1,"",4,2,3,2,2,2,4,4,5,3,4,3,2,1,2,"",185,51,2,1,"",4,"",2435,1,"",1,NA,"",NA,4,2,3,2,2,1,3,4,4,4,4,3
1,"",1,1,2,1,1,1,4,4,4,4,5,4,2,1,6,"",185,45,2,1,"",4,"",1887,1,"",1,NA,"",NA,4,2,3,1,1,1,4,4,4,4,5,4
1,"",4,2,2,2,1,1,4,4,4,3,4,1,2,1,6,"",185,25,2,1,"",3,"",1612,2,"",1,NA,"",NA,4,2,2,4,5,5,2,2,4,4,4,2
1,"",5,1,1,2,1,1,4,4,5,3,4,4,2,1,7,"Media",185,31,1,2,"Polish",4,"",2983,1,"",1,NA,"",NA,5,1,2,5,1,5,2,5,4,5,5,4
2,"",3,1,2,3,1,1,1,3,2,5,5,4,1,1,7,"Services",185,33,2,1,"",6,"Masters",1461,2,"",1,NA,"",NA,5,3,3,4,3,4,4,3,3,2,5,4
1,"",1,1,1,1,1,1,4,4,4,5,5,4,2,1,3,"",185,53,2,1,"",4,"",7670,1,"",1,NA,"",NA,2,1,2,1,1,1,4,5,4,5,5,4
1,"",5,2,4,1,2,1,5,4,5,5,5,5,1,1,4,"",185,33,2,1,"",3,"",1796,1,"",1,NA,"",NA,4,2,4,2,2,1,5,2,2,5,4,5
1,"",3,1,1,3,3,1,1,1,5,3,4,3,2,1,3,"",185,33,2,1,"",4,"",1826,1,"",1,NA,"",NA,4,4,4,1,1,1,5,4,5,3,3,3
1,"",4,2,3,3,1,1,4,5,5,3,4,3,2,1,3,"",185,48,2,1,"",6,"BTEC 6",5206,1,"",1,NA,"",NA,4,2,3,4,2,2,3,5,5,3,4,3
2,"",3,4,4,2,4,2,4,5,5,5,5,4,1,1,4,"",185,38,2,1,"",4,"",974,2,"",1,NA,"",NA,4,2,3,1,2,1,4,4,5,5,5,4
1,"",5,2,2,1,1,1,4,2,4,5,5,5,2,1,7,"translation",185,25,2,1,"",4,"",243,1,"",1,NA,"",NA,5,4,4,1,1,1,5,5,5,5,5,4
1,"",4,3,2,2,2,2,4,4,4,4,5,4,2,1,4,"",185,35,2,2,"Romanian",2,"",1247,1,"",1,NA,"",NA,4,3,3,4,4,2,4,4,4,4,4,4
1,"",4,2,4,1,4,1,4,5,5,5,5,5,2,1,3,"",185,24,2,1,"",4,"",578,1,"",1,NA,"",NA,4,4,4,3,3,2,4,4,4,4,5,4
2,"",4,3,5,2,4,2,4,4,4,2,4,4,2,1,5,"",185,24,1,2,"Hungarian",3,"",273,2,"",1,NA,"",NA,4,4,4,3,4,3,4,3,4,3,2,3
1,"",3,1,3,1,1,1,1,4,2,5,5,5,2,2,7,"Health",185,42,2,1,"",3,"",578,1,"",1,NA,"",NA,4,1,2,1,1,1,5,5,5,5,5,5
1,"",2,2,2,1,1,1,4,4,5,3,5,3,2,1,1,"",185,48,1,1,"",2,"",7883,1,"",1,NA,"",NA,4,4,4,1,1,1,4,5,5,4,5,2
2,"",4,1,1,3,2,2,2,2,2,5,5,5,2,1,4,"",185,42,2,1,"",6,"DipHE",1492,2,"",1,NA,"",NA,2,1,1,2,1,1,1,3,2,5,5,5
2,"",3,1,1,1,1,1,3,2,4,5,5,5,2,1,7,"Events",185,36,2,1,"",2,"",2677,1,"",1,NA,"",NA,3,1,2,2,2,1,2,2,1,5,4,4
1,"",4,2,3,1,2,1,4,5,4,5,5,5,2,1,4,"",185,57,2,1,"",2,"",1216,1,"",1,NA,"",NA,4,2,2,1,1,1,4,5,5,5,5,5
1,"",2,1,1,1,1,1,3,2,2,5,5,4,2,1,3,"",185,37,2,1,"",4,"",1157,1,"",1,NA,"",NA,2,1,2,2,5,2,1,1,1,5,5,4
1,"",4,4,4,2,1,1,2,2,2,4,4,4,2,1,1,"",185,26,1,1,"",4,"",335,1,"",1,NA,"",NA,4,3,4,4,2,2,2,2,2,4,4,4
2,"",3,1,1,1,1,1,4,3,4,5,5,4,2,1,2,"",185,28,2,1,"",4,"",243,2,"",1,NA,"",NA,4,1,1,1,1,1,5,3,4,5,5,5
1,"",1,1,1,1,1,1,4,4,4,5,5,4,2,1,7,"Marketing",185,36,2,1,"",2,"",2800,1,"",1,NA,"",NA,3,1,2,1,1,1,5,5,5,5,5,4
1,"",5,5,5,1,1,1,5,2,4,5,5,5,2,1,4,"",185,22,2,2,"Polish",4,"",212,1,"",1,NA,"",NA,5,5,5,3,2,1,4,2,5,5,5,5
1,"",3,2,4,1,1,1,5,4,4,5,5,4,2,2,7,"personal services, photography",185,34,2,1,"",4,"",3014,1,"",1,NA,"",NA,4,3,4,1,1,1,5,5,5,4,4,4
2,"",1,1,1,1,1,1,2,4,2,4,4,3,2,1,4,"",185,57,2,1,"",2,"",731,2,"",1,NA,"",NA,5,2,4,3,1,1,5,5,5,2,4,2
2,"",4,2,2,2,2,1,4,4,4,4,4,4,2,1,1,"",185,37,2,1,"",4,"",1492,1,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,1,"",185,38,2,1,"",3,"",2284,1,"",1,NA,"",NA,4,1,1,1,1,1,5,5,5,5,5,5
1,"",4,4,5,4,2,2,3,4,4,5,5,5,2,1,1,"",185,53,1,1,"",2,"",4291,1,"",1,NA,"",NA,5,5,5,4,3,3,3,5,5,5,5,4
1,"",2,2,3,2,1,1,2,2,3,4,5,4,2,2,4,"",185,30,2,1,"",4,"",426,1,"",1,NA,"",NA,5,4,4,5,4,4,2,2,4,3,4,4
1,"",4,2,3,2,2,2,4,5,5,4,5,4,2,1,1,"",185,44,2,1,"",4,"",7822,1,"",1,NA,"",NA,4,2,4,2,3,3,4,5,5,4,5,4
1,"",4,2,3,4,1,1,5,3,2,5,3,4,2,1,4,"",185,37,2,1,"",4,"",273,1,"",1,NA,"",NA,4,4,5,3,2,2,2,3,3,2,2,2
2,"",4,4,5,2,2,2,4,3,3,5,5,4,2,1,2,"",185,53,2,1,"",4,"",2677,1,"",1,NA,"",NA,5,5,5,4,3,3,4,4,4,4,4,4
2,"",4,3,3,1,1,1,5,4,4,5,5,3,2,2,5,"",185,51,1,1,"",3,"",2922,2,"",1,NA,"",NA,4,2,3,2,2,1,3,1,3,4,4,3
2,"",1,1,1,4,1,1,1,4,4,4,3,2,2,1,1,"",185,45,1,1,"",4,"",5084,2,"",1,NA,"",NA,2,1,1,4,1,2,2,4,5,3,2,3
1,"",4,3,4,2,3,1,3,3,4,5,5,5,2,2,7,"",185,26,2,2,"Romanian",4,"",731,1,"",1,NA,"",NA,5,3,3,3,4,5,2,3,4,3,5,3
2,"",3,2,2,2,3,3,3,3,3,4,4,4,2,1,4,"",185,52,2,1,"",4,"",2131,2,"",1,NA,"",NA,3,1,1,1,1,1,3,3,3,3,3,3
1,"",4,5,5,3,3,2,4,4,4,3,4,3,2,1,3,"",185,59,1,1,"",6,"Masters degree",8462,1,"",1,NA,"",NA,5,5,5,4,3,2,3,4,3,3,3,3
1,"",2,2,4,1,1,1,4,5,5,5,5,2,2,1,1,"",185,33,2,1,"",2,"",823,1,"",1,NA,"",NA,2,2,4,2,1,1,4,5,4,3,4,4
1,"",2,2,2,1,1,1,5,5,5,4,4,5,1,2,4,"",185,39,2,1,"",2,"",1673,1,"",1,NA,"",NA,3,3,3,3,2,2,4,5,5,4,4,4
1,"",4,3,4,2,2,1,4,2,4,1,5,4,2,1,3,"",185,32,1,1,"",3,"",1704,1,"",1,NA,"",NA,4,2,2,2,2,2,4,2,4,4,5,3
2,"",3,2,2,1,1,1,5,5,5,5,4,5,1,1,7,"Events industry/entertainment",185,26,2,1,"",4,"",1492,2,"",1,NA,"",NA,4,2,4,1,1,1,5,5,5,4,4,5
2,"",1,1,1,1,1,1,3,4,4,5,5,5,2,1,4,"",185,46,1,1,"",4,"",7456,2,"",1,NA,"",NA,4,1,2,2,2,1,4,4,5,5,5,5
2,"",4,1,1,1,1,1,2,4,4,3,4,2,2,1,7,"Literature",185,59,2,1,"",2,"",4049,2,"",1,NA,"",NA,2,1,2,1,3,1,3,1,1,4,4,4
2,"",3,1,2,4,2,1,5,4,4,3,5,3,2,1,4,"",185,31,2,1,"",2,"",212,2,"",1,NA,"",NA,3,2,4,1,2,1,2,4,4,4,5,4
1,"",4,1,1,1,1,1,4,4,4,5,5,4,1,2,2,"",187,33,1,1,"",4,"",1247,1,"",1,NA,"",NA,4,2,2,1,1,1,4,4,4,5,5,5
1,"",4,2,2,3,2,1,4,3,4,4,5,4,2,1,4,"",185,23,1,1,"",3,"",426,1,"",1,NA,"",NA,3,3,3,4,3,2,4,3,4,4,4,2
2,"",3,3,3,2,1,1,2,4,3,4,4,4,2,1,7,"Graphic Design",185,25,2,1,"",4,"",396,1,"",1,NA,"",NA,3,3,4,3,2,1,3,4,4,4,4,4
1,"",4,2,3,3,2,2,2,3,4,4,4,4,2,1,1,"",185,54,1,1,"",3,"",1553,1,"",1,NA,"",NA,4,2,2,2,2,2,4,3,4,4,4,4
1,"",2,2,1,1,2,1,4,3,2,4,5,5,2,1,7,"entertainment",185,30,1,2,"Greek",4,"",3195,1,"",1,NA,"",NA,2,1,1,1,1,1,5,5,5,5,5,4
2,"",4,1,1,1,4,1,4,2,5,5,5,5,2,1,1,"",185,32,1,2,"Finnish",4,"",2496,2,"",1,NA,"",NA,4,2,1,1,1,1,2,2,4,5,5,5
1,"",5,2,4,1,1,1,5,5,5,5,5,5,2,1,2,"",185,53,1,1,"",4,"",2618,1,"",1,NA,"",NA,4,3,4,1,1,1,5,5,5,5,5,5
2,"",3,1,1,2,3,3,3,3,3,2,4,3,1,2,2,"",185,40,1,1,"",4,"",1369,1,"",1,NA,"",NA,4,2,3,2,2,3,4,3,4,5,4,4
1,"",2,2,2,1,1,1,4,4,4,4,3,4,2,1,4,"",185,46,2,1,"",4,"",2496,1,"",1,NA,"",NA,5,3,5,5,3,3,5,5,5,4,5,3
1,"",4,4,5,4,4,4,4,2,5,2,3,3,2,1,7,"Maintenance",185,40,1,1,"",3,"",2192,2,"",1,NA,"",NA,4,4,4,4,1,1,5,4,5,2,2,2
1,"",4,1,1,1,1,1,1,4,2,2,4,2,2,1,4,"",185,55,2,1,"",4,"",457,1,"",1,NA,"",NA,2,1,1,1,1,1,1,4,5,3,5,3
1,"",4,2,4,2,1,1,3,1,2,5,5,5,1,2,7,"Entertainment and events",185,34,1,1,"",2,"",2618,1,"",1,NA,"",NA,4,3,3,2,1,1,3,4,2,5,5,4
2,"",5,4,5,2,3,2,4,5,4,4,3,4,2,1,4,"",185,41,1,1,"",4,"",517,1,"",1,NA,"",NA,5,4,5,2,2,1,5,4,5,4,3,4
2,"",4,4,4,2,2,5,1,1,3,5,5,5,2,1,7,"Design",185,26,2,1,"",4,"",3073,1,"",1,NA,"",NA,5,4,5,3,2,4,1,1,4,4,4,3
1,"",5,2,4,4,4,4,4,4,4,4,2,3,1,2,1,"",185,52,2,1,"",5,"",4018,1,"",1,NA,"",NA,5,3,4,4,4,3,3,4,4,3,3,3
1,"",3,4,4,4,3,3,1,1,3,4,5,2,2,1,7,"Food",185,24,2,1,"",4,"",273,1,"",1,NA,"",NA,2,3,3,4,4,4,1,1,2,4,5,4
1,"",4,2,2,2,2,2,2,3,3,4,5,4,2,1,4,"",185,50,2,1,"",4,"",5752,1,"",1,NA,"",NA,4,2,2,1,1,1,2,4,4,4,5,4
1,"",4,4,3,1,1,1,5,5,5,5,5,5,1,1,2,"",185,37,1,1,"",3,"",304,2,"",1,NA,"",NA,5,4,4,2,3,1,5,5,5,5,3,5
1,"",4,4,4,1,1,1,5,4,4,5,5,4,2,1,6,"",185,57,1,1,"",2,"",5540,1,"",1,NA,"",NA,4,2,4,1,1,1,5,4,4,4,5,3
1,"",2,1,2,1,1,1,5,5,5,5,5,5,1,1,7,"legal",185,57,2,1,"",4,"",7578,1,"",1,NA,"",NA,4,1,2,1,1,1,5,5,5,5,5,5
