"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
2,"",4,2,3,2,2,1,4,4,4,5,5,5,1,1,7,"law",185,51,1,1,"",4,"",9009,1,"",1,NA,"",NA,4,2,4,2,2,1,4,4,5,5,5,4
1,"",4,4,4,2,1,1,4,4,5,4,4,4,2,1,7,"Art and Design",185,42,2,1,"",4,"",2039,1,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
2,"",5,4,4,4,2,1,4,5,5,2,4,2,2,1,7,"Arts",185,38,2,1,"",4,"",2435,2,"",1,NA,"",NA,5,4,5,5,3,3,4,5,5,4,4,1
2,"",4,4,5,4,2,2,3,4,4,4,4,4,2,1,7,"Photography",185,40,2,1,"",4,"",2131,2,"",1,NA,"",NA,4,4,4,4,2,2,2,4,4,3,4,4
1,"",4,1,2,1,2,1,1,1,1,5,5,4,2,1,6,"",185,37,1,1,"",3,"",1066,1,"",1,NA,"",NA,4,2,2,1,1,1,2,2,2,5,5,4
1,"",2,1,2,4,4,2,4,4,5,5,5,4,2,1,4,"",185,37,2,1,"",4,"",1157,1,"",1,NA,"",NA,4,2,2,3,2,2,2,4,5,4,4,5
2,"",4,4,4,2,2,2,5,4,5,4,5,4,1,1,7,"Arts and crafts",185,23,2,1,"",4,"",1096,2,"",1,NA,"",NA,5,4,4,2,2,1,5,5,5,4,4,4
1,"",2,1,1,4,4,4,1,4,4,4,5,4,2,1,7,"taxi",185,56,1,1,"",4,"",1857,1,"",1,NA,"",NA,2,2,2,4,4,4,2,5,5,5,5,4
1,"",5,2,5,2,1,1,5,3,5,4,5,3,2,1,7,"Graphic Design",185,56,2,1,"",4,"",5479,1,"",1,NA,"",NA,5,5,5,3,1,1,3,2,2,4,5,2
1,"",4,2,2,1,1,1,4,4,3,4,5,4,2,1,4,"",185,67,2,1,"",2,"",3073,1,"",1,NA,"",NA,4,2,2,1,2,1,4,5,4,5,5,4
1,"",4,4,5,1,1,1,5,5,5,3,4,3,2,1,4,"",185,46,2,1,"",4,"",6483,1,"",1,NA,"",NA,4,4,5,2,1,1,5,3,3,2,4,3
1,"",5,5,5,5,3,3,3,3,5,3,3,3,2,1,4,"",185,48,1,1,"",4,"",2800,1,"",1,NA,"",NA,5,5,5,1,1,1,3,3,4,4,4,3
1,"",2,1,1,1,3,2,2,3,2,4,4,3,2,1,5,"",185,68,1,1,"",4,"",1522,1,"",1,NA,"",NA,2,1,1,3,3,1,2,4,3,3,4,3
2,"",2,4,3,2,1,1,2,3,3,2,4,3,2,1,3,"",185,62,2,1,"",4,"",4018,2,"",1,NA,"",NA,3,3,4,4,3,1,2,3,3,3,5,3
1,"",3,3,4,2,2,2,4,4,4,4,4,4,2,1,6,"",185,52,1,2,"Welsh",3,"",11992,1,"",1,NA,"",NA,4,2,3,2,2,3,4,5,5,4,4,3
1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,3,"",185,32,2,1,"",4,"",1339,1,"",1,NA,"",NA,2,1,3,1,1,1,5,5,5,5,5,5
1,"",4,3,3,1,1,1,5,4,5,5,5,5,1,2,7,"Entertainment",185,39,1,1,"",4,"",4534,1,"",1,NA,"",NA,4,3,4,3,2,1,5,2,5,5,5,5
1,"",5,5,5,5,5,1,4,5,5,3,4,3,2,1,7,"Design/luxury items",185,55,2,1,"",4,"",4414,1,"",1,NA,"",NA,5,5,5,4,3,2,4,5,5,3,2,2
1,"",4,4,5,1,1,1,2,2,3,5,4,4,2,1,7,"creative arts",185,32,2,1,"",4,"",609,1,"",1,NA,"",NA,5,4,4,2,2,1,2,4,4,4,5,5
1,"",5,1,1,1,1,1,5,5,5,5,5,4,2,1,2,"",185,48,1,1,"",5,"",3957,1,"",1,NA,"",NA,4,1,3,2,1,1,4,4,4,5,5,4
1,"",4,3,4,4,2,2,5,4,5,2,3,2,2,1,7,"Teaching sewing, alterations, dressmaking,  sewing",185,48,2,1,"",3,"",1492,1,"",1,NA,"",NA,5,2,5,2,4,2,1,5,5,2,4,2
1,"",4,4,5,4,2,1,3,4,4,3,3,2,2,1,4,"",185,46,1,1,"",4,"",5145,1,"",1,NA,"",NA,5,5,5,5,2,2,4,3,3,2,2,2
1,"",3,2,3,2,2,2,4,5,5,4,4,5,2,1,7,"Art and design",185,45,2,2,"Dutch",4,"",670,1,"",1,NA,"",NA,4,3,4,2,2,2,3,4,4,2,4,4
1,"",4,1,2,1,1,1,4,2,4,5,5,5,2,1,5,"",185,35,2,1,"",2,"",1127,1,"",1,NA,"",NA,4,2,4,2,2,2,3,3,3,4,3,3
2,"",1,1,1,1,1,1,5,5,5,5,5,5,2,1,3,"",185,45,1,1,"",3,"",365,2,"",1,NA,"",NA,3,2,5,5,4,4,1,1,1,5,5,4
1,"",2,1,2,1,1,1,5,5,5,5,5,5,2,1,4,"",185,49,2,1,"",2,"",3165,1,"",1,NA,"",NA,4,1,2,1,1,1,4,4,4,5,5,5
1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,7,"Fitness",185,37,2,1,"",3,"",1369,1,"",1,NA,"",NA,5,3,3,2,1,1,3,2,4,5,5,4
2,"",5,4,4,1,1,1,5,5,5,5,5,5,2,1,7,"Arts",185,28,2,1,"",4,"",548,2,"",1,NA,"",NA,4,3,4,2,1,1,2,1,5,5,5,4
1,"",5,5,5,1,1,1,5,4,5,5,5,2,2,1,7,"Art",185,33,1,1,"",4,"",1431,1,"",1,NA,"",NA,5,5,5,1,1,1,5,5,5,5,5,4
2,"",1,2,2,2,2,1,2,4,4,4,5,4,1,2,2,"",185,25,1,1,"",5,"",1553,2,"",1,NA,"",NA,2,1,2,2,1,2,5,4,4,4,5,5
1,"",5,5,5,5,5,4,2,4,4,2,2,2,2,1,7,"Hospitality",185,55,2,1,"",3,"",1734,1,"",1,NA,"",NA,4,4,4,5,2,2,5,5,4,5,5,4
1,"",5,2,4,1,1,1,4,1,3,5,5,5,2,1,4,"",185,41,2,1,"",2,"",2496,1,"",1,NA,"",NA,5,4,4,2,1,1,4,2,4,5,5,5
1,"",3,1,1,1,1,1,4,4,3,4,4,4,2,1,7,"arts",185,52,1,1,"",4,"",3439,1,"",1,NA,"",NA,2,1,2,1,1,1,3,4,4,2,5,3
2,"",4,2,3,4,3,1,2,4,4,4,4,4,2,1,4,"",185,29,1,1,"",4,"",426,2,"",1,NA,"",NA,4,3,4,3,2,2,2,4,4,4,4,4
2,"",4,4,4,2,1,1,4,4,4,5,5,4,2,1,4,"",185,37,2,1,"",4,"",151,2,"",1,NA,"",NA,2,2,2,1,1,1,2,2,4,5,5,5
1,"",2,2,2,3,4,3,4,2,2,5,4,4,2,1,4,"",185,32,1,1,"",2,"",426,2,"",1,NA,"",NA,2,3,4,2,4,2,2,2,2,5,5,5
1,"",2,1,1,1,1,1,4,5,3,4,4,3,2,2,2,"",185,46,2,1,"",4,"",7060,1,"",1,NA,"",NA,1,1,1,1,1,1,4,4,4,3,5,2
1,"",1,1,3,1,2,1,2,4,4,3,4,2,2,1,7,"Marketing",185,35,1,1,"",2,"",92,1,"",1,NA,"",NA,3,2,3,1,2,1,1,2,3,3,4,4
1,"",4,4,4,1,2,1,2,3,4,5,5,5,2,2,4,"",185,60,2,1,"",5,"",3500,1,"",1,NA,"",NA,4,5,5,1,1,1,4,5,5,5,5,4
1,"",4,2,2,4,4,4,3,5,5,2,4,1,2,1,4,"",185,64,2,1,"",4,"",1522,1,"",1,NA,"",NA,5,2,2,2,4,2,3,4,4,3,4,2
2,"",3,1,1,1,1,1,2,2,2,5,5,5,2,1,4,"",185,41,2,1,"",4,"",2739,2,"",1,NA,"",NA,2,1,2,1,1,1,1,4,2,5,5,5
2,"",5,5,5,4,2,3,4,5,5,5,4,4,2,1,7,"Complementary therapy",185,46,2,1,"",6,"Post Graduate",457,2,"",1,NA,"",NA,5,5,5,4,3,3,2,5,4,4,4,4
2,"",2,3,2,1,1,1,5,5,5,5,5,5,2,1,7,"Arts",185,33,2,1,"",3,"",1066,2,"",1,NA,"",NA,2,3,2,1,1,1,5,5,5,5,5,5
1,"",3,2,3,1,1,1,4,4,4,4,4,4,2,1,2,"",185,47,2,1,"",4,"",2465,1,"",1,NA,"",NA,3,3,3,1,1,1,4,4,4,3,4,4
2,"",4,3,4,4,3,3,3,4,4,5,5,5,2,1,1,"",185,42,1,1,"",3,"",2253,2,"",1,NA,"",NA,4,4,5,3,2,1,4,5,5,5,3,3
1,"",3,3,3,3,3,3,3,3,3,3,3,3,2,1,6,"",185,50,1,1,"",4,"",7914,1,"",1,NA,"",NA,2,2,2,3,3,3,3,3,3,3,3,3
1,"",1,1,1,1,1,1,4,5,5,4,4,3,2,1,3,"",185,51,2,1,"",4,"",6848,1,"",1,NA,"",NA,1,1,1,1,1,1,3,5,4,4,5,3
1,"",4,2,3,1,1,1,5,5,5,4,4,3,2,2,7,"Hospitality",185,64,1,1,"",4,"",1826,1,"",1,NA,"",NA,3,2,2,1,1,1,4,5,5,4,4,4
1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,3,"",185,37,2,1,"",4,"",1978,1,"",1,NA,"",NA,4,1,4,1,2,1,4,5,4,5,5,4
1,"",5,1,4,1,1,1,4,3,4,4,4,4,2,1,3,"",185,53,1,1,"",5,"",3318,1,"",1,NA,"",NA,5,1,5,3,1,1,5,4,4,3,2,3
1,"",3,4,3,2,2,1,3,2,2,5,4,4,2,1,3,"",185,41,2,2,"Slovak",4,"",2131,1,"",1,NA,"",NA,3,3,4,3,2,1,5,5,5,4,4,4
2,"",1,1,1,1,1,1,5,1,4,5,5,5,1,1,2,"",185,23,1,2,"Shona",4,"",2343,2,"",1,NA,"",NA,5,2,1,1,1,1,5,2,4,5,5,4
2,"",4,3,2,4,4,3,2,2,4,5,5,5,2,1,4,"",185,38,2,1,"",3,"",4840,2,"",1,NA,"",NA,5,4,4,4,5,4,2,4,5,5,4,4
1,"",5,2,4,1,1,1,5,4,4,5,5,4,2,1,2,"",185,44,1,2,"Russian",4,"",6545,1,"",1,NA,"",NA,5,2,4,2,2,2,5,4,4,5,5,4
1,"",4,1,3,2,1,1,4,2,2,5,4,5,2,1,3,"",185,30,2,1,"",6,"Masters Degree",2830,1,"",1,NA,"",NA,5,3,4,1,2,1,4,3,4,4,4,4
2,"",4,5,5,2,1,1,5,5,5,5,5,4,2,1,1,"",185,54,2,1,"",2,"",6270,1,"",1,NA,"",NA,4,4,5,1,1,1,5,5,5,4,5,4
1,"",3,2,2,2,2,2,4,4,4,4,4,5,2,1,2,"",185,27,1,1,"",2,"",974,1,"",1,NA,"",NA,3,4,4,2,4,3,5,5,4,4,4,3
2,"",4,3,4,1,1,1,4,5,5,5,5,5,2,1,4,"",185,28,2,1,"",4,"",151,1,"",1,NA,"",NA,4,2,3,1,1,1,4,3,5,5,5,4
2,"",4,2,4,3,3,1,3,2,5,5,3,4,2,1,7,"Art/Engineering/Photography",185,34,1,1,"",4,"",2861,2,"",1,NA,"",NA,4,2,3,2,4,4,4,5,5,4,5,3
2,"",2,1,1,2,2,2,4,5,5,4,5,4,2,1,3,"",185,51,1,1,"",4,"",4079,2,"",1,NA,"",NA,4,1,1,2,2,1,2,4,2,4,5,4
1,"",4,4,5,3,3,3,4,4,4,4,4,3,2,1,7,"[ersonal services",185,32,2,1,"",2,"",2131,1,"",1,NA,"",NA,5,5,5,4,3,3,4,4,4,4,3,3
1,"",1,4,4,1,1,1,1,2,1,5,5,5,2,1,7,"Legal support and publishing",185,53,1,1,"",4,"",1704,1,"",1,NA,"",NA,1,4,4,2,1,1,4,2,3,5,5,4
1,"",4,1,2,1,4,1,4,3,2,5,5,5,2,1,2,"",185,51,1,1,"",3,"",2618,1,"",1,NA,"",NA,4,1,3,1,2,1,3,5,4,5,5,4
1,"",5,3,5,1,1,1,3,5,3,5,5,2,2,1,4,"",185,47,2,2,"Vietnamese",4,"",1978,1,"",1,NA,"",NA,5,3,4,1,1,1,5,5,3,3,5,3
1,"",3,4,2,3,3,3,2,2,3,3,3,3,2,1,3,"",185,26,2,1,"",4,"",1369,2,"",1,NA,"",NA,2,3,4,3,3,3,3,4,3,3,2,3
2,"",3,4,5,2,1,1,4,4,4,2,3,2,2,1,1,"",185,27,1,1,"",4,"",1826,2,"",1,NA,"",NA,4,3,5,2,2,1,3,2,4,2,4,2
1,"",3,2,2,1,2,2,2,1,3,5,5,4,2,2,3,"",185,34,1,1,"",3,"",1127,1,"",1,NA,"",NA,4,3,2,1,2,1,2,2,4,4,5,4
2,"",2,2,2,1,1,1,4,5,5,5,5,5,2,1,7,"Professional Services",185,39,2,1,"",4,"",2527,1,"",1,NA,"",NA,4,4,4,1,2,2,5,5,5,5,5,5
1,"",4,1,3,1,1,1,5,5,2,5,5,4,2,1,4,"",185,53,1,1,"",2,"",3653,1,"",1,NA,"",NA,5,4,4,1,1,1,4,5,5,5,5,4
2,"",4,1,1,1,1,1,1,1,1,5,5,5,2,1,4,"",185,32,2,2,"German",4,"",1308,2,"",1,NA,"",NA,5,5,5,4,2,1,1,1,1,5,5,5
2,"",5,5,5,4,1,1,1,4,3,3,2,4,2,1,3,"",185,45,2,1,"",6,"PGCE",1369,2,"",1,NA,"",NA,4,3,3,3,2,2,1,4,5,3,3,3
2,"",4,2,2,1,1,1,4,5,4,5,5,4,2,1,7,"Trading",185,53,1,1,"",4,"",3226,2,"",1,NA,"",NA,4,3,4,2,3,3,5,5,4,4,4,2
1,"",3,2,2,1,1,1,4,4,4,5,5,5,2,1,5,"",185,58,1,1,"",2,"",1918,1,"",1,NA,"",NA,4,1,1,1,1,1,1,1,1,5,5,5
1,"",3,1,3,2,3,3,5,4,4,5,5,5,2,1,7,"hospitality",185,54,2,1,"",2,"",4261,1,"",1,NA,"",NA,3,2,3,2,3,3,3,3,3,4,5,4
1,"",4,2,3,3,3,1,5,5,3,5,5,5,2,1,2,"",185,65,2,1,"",2,"",2253,1,"",1,NA,"",NA,4,3,2,1,4,1,5,5,5,5,5,5
1,"",5,5,5,4,4,3,1,2,1,5,5,5,2,1,7,"Events",185,20,2,1,"",4,"",943,1,"",1,NA,"",NA,4,4,5,4,2,1,2,2,5,5,4,4
2,"",3,3,4,2,2,3,3,4,4,4,5,4,2,1,4,"",185,29,1,1,"",6,"College",578,2,"",1,NA,"",NA,3,2,2,2,1,1,3,4,4,4,5,4
1,"",2,2,2,2,2,1,2,2,4,5,5,4,1,1,2,"",185,44,2,1,"",4,"",1216,1,"",1,NA,"",NA,4,4,4,1,1,1,3,4,4,5,5,4
1,"",5,5,5,4,3,2,4,5,4,2,2,2,2,1,7,"Arts",185,35,2,1,"",3,"",5265,1,"",1,NA,"",NA,4,4,4,3,2,2,5,5,5,3,2,2
1,"",4,4,4,3,2,2,4,3,4,4,4,4,2,2,3,"",185,41,2,1,"",4,"",1339,1,"",1,NA,"",NA,4,4,3,2,2,2,3,4,4,4,4,3
2,"",5,4,4,5,5,5,2,4,4,2,5,2,2,1,2,"",185,54,1,1,"",4,"",3014,2,"",1,NA,"",NA,5,4,4,4,3,2,5,5,4,3,5,3
1,"",5,4,4,1,1,1,2,2,4,5,5,5,2,1,4,"",185,25,2,1,"",4,"",243,1,"",1,NA,"",NA,5,4,5,1,4,1,4,2,5,5,5,5
1,"",4,2,4,1,1,1,5,5,5,5,5,5,2,1,7,"photography and videography",185,35,2,1,"",4,"",701,1,"",1,NA,"",NA,4,1,2,1,1,1,4,4,5,5,5,3
1,"",4,2,2,1,1,1,2,4,2,5,5,5,1,2,2,"",185,50,1,1,"",2,"",8736,1,"",1,NA,"",NA,4,2,2,1,1,1,5,5,5,5,5,4
2,"",4,3,3,4,5,2,1,2,2,2,4,2,2,1,4,"",185,53,2,1,"",3,"",4383,2,"",1,NA,"",NA,5,1,4,5,5,5,1,4,2,4,4,2
1,"",4,4,4,4,4,4,3,3,5,4,3,3,2,1,7,"retail",185,45,2,2,"russian",4,"",974,1,"",1,NA,"",NA,5,5,5,5,4,4,3,3,4,4,2,3
2,"",4,3,3,2,4,1,5,4,4,3,5,4,2,1,1,"",185,21,1,1,"",4,"",1492,2,"",1,NA,"",NA,2,3,3,2,4,3,3,2,3,4,5,4
1,"",2,1,2,1,1,1,2,2,3,3,5,3,2,1,2,"",185,45,1,1,"",4,"",2922,1,"",1,NA,"",NA,1,1,1,1,2,1,4,4,5,4,5,4
2,"",3,2,4,2,3,2,2,3,2,4,4,3,2,1,4,"",185,20,2,1,"",3,"",182,2,"",1,NA,"",NA,4,4,5,4,4,1,2,1,1,4,4,3
2,"",4,2,2,1,1,1,2,4,4,5,5,5,2,1,4,"",185,26,2,1,"",4,"",365,2,"",1,NA,"",NA,5,2,3,1,1,1,2,3,5,5,5,5
2,"",3,2,2,2,1,1,2,2,3,5,5,5,2,1,1,"",185,23,1,1,"",3,"",396,2,"",1,NA,"",NA,2,4,4,2,2,2,4,2,2,4,4,4
2,"",4,3,2,4,2,2,5,5,4,4,4,3,2,1,3,"",185,25,2,1,"",4,"",1035,2,"",1,NA,"",NA,4,2,4,2,1,1,4,5,5,4,5,2
1,"",2,3,4,2,2,2,3,4,4,3,4,4,1,1,6,"",185,44,1,1,"",3,"",2039,1,"",1,NA,"",NA,4,4,4,3,2,2,2,4,4,3,3,4
2,"",4,3,2,4,2,1,3,1,2,5,5,4,2,2,1,"",185,23,1,1,"",4,"",2649,2,"",1,NA,"",NA,2,1,1,2,2,1,2,4,3,4,5,2
1,"",4,4,4,1,1,1,5,4,4,4,4,4,1,1,3,"",185,27,2,1,"",4,"",1704,2,"",1,NA,"",NA,2,1,1,1,1,1,3,2,2,5,5,5
1,"",4,1,3,4,2,1,5,5,5,5,5,4,1,2,7,"Fine art restoration",185,47,1,1,"",5,"",7032,1,"",1,NA,"",NA,5,4,5,3,3,2,5,5,5,3,3,3
2,"",2,1,2,2,2,1,2,4,4,4,5,4,2,1,3,"",185,41,2,1,"",4,"",3623,2,"",1,NA,"",NA,4,2,2,2,3,1,2,2,4,4,4,4
2,"",4,1,3,1,1,1,2,4,4,5,5,5,2,1,3,"",185,30,1,1,"",4,"",517,1,"",1,NA,"",NA,5,5,3,1,1,1,2,4,5,5,5,5
2,"",3,3,3,4,3,3,3,4,4,3,3,3,2,1,3,"",185,30,2,1,"",4,"",151,2,"",1,NA,"",NA,3,3,4,4,4,4,2,5,4,3,4,2
1,"",3,2,2,2,4,2,3,5,5,4,5,4,2,1,7,"counselling",185,65,2,1,"",4,"",5540,1,"",1,NA,"",NA,3,1,3,4,5,2,3,5,5,5,5,4
2,"",3,2,3,1,2,1,5,3,3,3,4,3,2,1,7,"Handmade craft",185,27,2,1,"",3,"",426,2,"",1,NA,"",NA,5,2,4,4,3,3,4,3,3,3,4,3
1,"",3,4,5,3,2,1,4,5,5,5,5,5,2,1,4,"",185,35,2,2,"Russian",3,"",31,2,"",1,NA,"",NA,5,5,5,1,2,1,5,4,5,5,5,5
2,"",5,2,2,3,4,2,5,5,5,5,4,4,1,2,4,"",185,29,1,1,"",4,"",1492,2,"",1,NA,"",NA,4,2,4,3,3,2,4,5,5,4,5,4
1,"",3,4,4,1,1,1,3,2,2,5,5,5,2,1,7,"Arts",185,23,2,1,"",4,"",882,1,"",1,NA,"",NA,4,5,5,2,3,1,2,3,3,4,5,5
1,"",4,4,3,1,1,1,2,2,3,3,5,3,2,1,1,"",185,31,1,2,"Polish",4,"",1461,1,"",1,NA,"",NA,4,4,3,4,4,4,3,4,4,4,4,2
1,"",4,3,3,1,1,1,4,4,5,5,5,4,1,2,5,"",185,48,1,1,"",5,"",4261,1,"",1,NA,"",NA,4,1,1,3,1,1,2,1,3,5,5,4
1,"",1,1,1,1,1,1,4,4,4,5,5,4,2,1,4,"",185,45,2,1,"",4,"",4718,2,"",1,NA,"",NA,4,2,2,1,1,1,4,4,4,5,4,5
2,"",2,2,3,1,1,1,4,2,5,4,5,4,2,1,7,"Entertainment and Arts",185,34,2,2,"French",4,"",2435,2,"",1,NA,"",NA,3,3,4,1,1,1,5,3,5,4,5,4
1,"",5,3,5,2,2,2,4,2,4,4,4,4,2,1,3,"",185,42,2,1,"",4,"",1978,1,"",1,NA,"",NA,5,3,4,4,1,1,4,4,5,3,4,4
2,"",4,2,5,1,1,1,4,3,3,5,4,4,2,2,7,"Sports Coaching",185,36,2,1,"",4,"",517,2,"",1,NA,"",NA,2,1,2,1,1,1,3,1,1,4,5,4
2,"",4,3,3,3,2,1,2,3,2,5,4,5,2,1,2,"",185,42,1,1,"",3,"",2009,1,"",1,NA,"",NA,4,3,3,1,1,1,5,5,5,5,5,5
2,"",4,2,2,1,1,1,5,4,4,4,5,4,2,1,7,"Wellbeing",185,37,2,1,"",3,"",426,1,"",1,NA,"",NA,2,1,2,1,1,1,5,1,5,5,5,5
2,"",4,2,2,4,4,4,2,2,2,4,5,4,2,2,3,"",185,41,2,1,"",4,"",1461,2,"",1,NA,"",NA,4,2,2,4,3,3,4,1,1,4,5,4
1,"",5,3,3,1,1,1,5,5,5,5,5,4,2,1,4,"",185,40,1,1,"",2,"",4018,1,"",1,NA,"",NA,5,3,4,1,1,1,5,5,5,5,5,4
1,"",1,1,1,1,1,1,5,4,5,5,5,5,1,1,3,"",185,40,2,1,"",4,"",1339,1,"",1,NA,"",NA,4,2,4,1,2,1,5,1,4,5,5,4
1,"",4,3,4,2,1,1,4,4,5,4,5,4,2,2,6,"",185,58,1,1,"",4,"",396,1,"",1,NA,"",NA,4,4,4,2,1,1,3,4,4,3,4,3
2,"",4,2,2,2,2,2,4,4,4,4,4,4,2,2,3,"",185,53,1,1,"",4,"",4049,2,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
1,"",3,2,2,1,2,1,3,3,3,4,5,4,1,2,7,"Tourism",185,53,2,1,"",4,"",3348,2,"",1,NA,"",NA,2,2,2,2,2,2,3,4,3,4,4,4
1,"",1,1,1,1,1,1,1,2,1,5,5,5,2,1,1,"",185,34,1,1,"",4,"",4230,1,"",1,NA,"",NA,2,1,1,1,4,1,2,2,2,4,4,3
1,"",3,2,2,1,1,1,3,3,3,5,5,4,2,1,3,"",185,44,1,1,"",4,"",2070,1,"",1,NA,"",NA,3,3,4,3,3,3,3,3,3,3,3,3
2,"",3,1,2,2,2,1,2,3,2,3,5,4,2,1,7,"Hospitality",185,53,1,1,"",4,"",11201,1,"",1,NA,"",NA,2,4,4,2,2,2,5,5,5,3,5,4
1,"",5,4,5,1,1,1,5,5,5,2,2,3,2,1,1,"",185,37,1,2,"TURKISH",6,"MASTERS DEGREE",4656,2,"",1,NA,"",NA,4,5,5,2,3,3,3,3,5,3,2,2
1,"",3,3,4,1,2,1,4,4,3,4,4,3,2,1,1,"",185,36,1,1,"",3,"",13180,1,"",1,NA,"",NA,5,4,4,1,2,2,3,2,4,5,5,4
1,"",2,1,1,1,1,1,2,2,4,5,5,4,2,1,3,"",185,41,2,1,"",4,"",4748,1,"",1,NA,"",NA,4,2,4,4,2,2,4,5,4,4,4,3
1,"",3,2,3,1,1,1,5,5,5,5,5,5,2,1,1,"",185,29,1,1,"",4,"",851,1,"",1,NA,"",NA,2,2,2,2,2,2,4,4,4,5,5,5
1,"",1,1,1,2,2,1,2,1,5,5,3,5,2,1,7,"Courier and delivery",185,25,1,1,"",4,"",1127,1,"",1,NA,"",NA,4,1,2,3,3,2,1,1,1,4,5,2
1,"",3,4,4,1,1,1,5,5,5,5,5,5,2,1,3,"",185,39,2,1,"",4,"",1400,1,"",1,NA,"",NA,4,4,4,3,1,1,5,5,5,5,5,4
1,"",4,4,4,1,1,1,4,4,5,4,5,4,1,1,3,"",185,51,2,1,"",4,"",2039,1,"",1,NA,"",NA,4,4,4,2,1,1,5,5,5,4,4,4
1,"",4,4,5,2,2,1,4,4,3,4,5,3,2,1,1,"",185,64,2,1,"",4,"",8552,1,"",1,NA,"",NA,4,3,4,4,4,1,2,3,2,4,4,3
2,"",3,4,4,1,1,1,4,3,4,5,5,5,2,1,4,"",185,33,1,2,"Greek",4,"",1004,2,"",1,NA,"",NA,2,2,2,1,2,1,5,2,4,5,5,5
2,"",5,2,4,4,4,2,2,4,5,4,1,4,2,1,3,"",185,36,1,1,"",4,"",457,2,"",1,NA,"",NA,5,4,4,4,3,2,2,4,4,4,4,2
1,"",5,4,4,1,1,1,4,4,3,2,5,4,2,1,6,"",185,44,1,1,"",4,"",61,1,"",1,NA,"",NA,4,4,5,2,2,2,4,4,2,3,4,3
1,"",5,5,5,1,2,1,4,4,5,3,4,4,2,1,7,"Arts/Entertainment",185,33,1,1,"",4,"",1035,1,"",1,NA,"",NA,5,5,5,2,2,2,4,2,5,4,5,4
