"probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w7_SE_quit","w5_SE_quit","w5_lifeSat","SE_start_recode","age","gender","edu","coded_country_num","w5_fin_strain01","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
4,4,5,2,2,2,-2,-2,2,27,6,2,4,11,2,0,"Germany",2,4.33333333333333,"65-75","Europe"
3,1,4,-2,0,-2,-3,-3,4,17,4,2,5,11,-1,0,"Germany",-1.33333333333333,2.66666666666667,"45-54","Europe"
4,2,5,0,1,0,-3,-3,5,3,4,2,7,11,0,0,"Germany",0.333333333333333,3.66666666666667,"45-54","Europe"
4,4,4,1,1,1,NA,1,3,12,4,2,5,12,1,0,"Greece",1,4,"45-54","Europe"
4,4,5,1,1,1,-2,-2,5,21,4,1,6,12,1,0,"Greece",1,4.33333333333333,"45-54","Europe"
4,4,4,0,0,0,-2,-2,5,5,4,1,6,12,0,0,"Greece",0,4,"45-54","Europe"
5,4,3,0,1,-1,-3,-3,5,4,2,1,6,12,-2,0,"Greece",0,4,"25-34","Europe"
4,4,5,0,1,-1,-1,-2,4,0,3,2,5,32,1,0,"United Kingdom",0,4.33333333333333,"35-44","Europe"
3,3,4,1,1,1,-3,-3,4,36,5,2,5,12,0,1,"Greece",1,3.33333333333333,"55-64","Europe"
4,4,4,1,1,0,-2,-2,6,8,3,1,5,12,1,0,"Greece",0.666666666666667,4,"35-44","Europe"
3,3,3,0,0,0,NA,-3,4,36,5,2,5,12,1,0,"Greece",0,3,"55-64","Europe"
4,4,4,0,1,-1,0,-1,5,30,6,2,5,12,0,0,"Greece",0,4,"65-75","Europe"
5,4,5,-2,-1,-2,NA,-3,6,28,4,1,5,12,-2,0,"Greece",-1.66666666666667,4.66666666666667,"45-54","Europe"
3,3,3,1,-1,0,NA,-3,5,8,4,1,6,9,1,0,"Cyprus",0,3,"45-54","Central and West Asia"
5,5,5,0,1,0,NA,-3,5,8,5,2,5,12,0,1,"Greece",0.333333333333333,5,"55-64","Europe"
5,5,2,-1,0,-2,NA,-2,6,14,3,1,6,12,-2,1,"Greece",-1,4,"35-44","Europe"
5,5,5,-1,2,-1,-3,-3,5,2,3,1,6,12,-1,0,"Greece",0,5,"35-44","Europe"
4,3,4,-1,1,-1,2,1,3,28,5,1,5,12,0,0,"Greece",-0.333333333333333,3.66666666666667,"55-64","Europe"
4,5,4,1,1,1,NA,-3,5,0,2,1,7,12,1,0,"Greece",1,4.33333333333333,"25-34","Europe"
4,3,4,-1,1,-1,-3,-3,5,23,4,2,6,12,0,0,"Greece",-0.333333333333333,3.66666666666667,"45-54","Europe"
4,3,4,1,1,1,NA,-3,6,28,5,2,2,12,2,0,"Greece",1,3.66666666666667,"55-64","Europe"
5,3,4,2,1,2,NA,1,5,27,5,2,4,12,1,0,"Greece",1.66666666666667,4,"55-64","Europe"
3,3,3,1,1,1,NA,-2,5,20,5,2,5,12,1,1,"Greece",1,3,"55-64","Europe"
3,3,3,-1,1,-1,NA,0,3,3,2,1,3,33,2,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
3,2,4,1,1,1,NA,-1,4,10,3,2,4,33,1,1,"United States of America",1,3,"35-44","Northern America, Australia & New Zealand"
5,5,4,-1,2,-1,NA,-3,5,9,5,1,6,33,-2,0,"United States of America",0,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
4,4,4,-2,2,-2,-3,-3,6,1,2,2,7,33,-2,0,"United States of America",-0.666666666666667,4,"25-34","Northern America, Australia & New Zealand"
5,5,5,-2,1,-2,NA,-2,5,5,4,1,6,33,-1,1,"United States of America",-1,5,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,1,-1,-2,-3,4,1,2,1,6,33,0,0,"United States of America",0,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
4,3,4,1,1,1,NA,0,4,1,2,1,2,33,0,1,"United States of America",1,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
4,4,4,2,2,2,NA,0,5,19,3,1,5,33,0,0,"United States of America",2,4,"35-44","Northern America, Australia & New Zealand"
4,4,4,0,1,0,-2,-2,4,14,5,1,6,33,-1,1,"United States of America",0.333333333333333,4,"55-64","Northern America, Australia & New Zealand"
5,5,5,2,1,1,NA,-2,6,0,5,1,5,26,1,0,"South Africa",1.33333333333333,5,"55-64","Africa"
3,3,2,0,1,0,-3,-3,4,1,4,1,2,33,0,0,"United States of America",0.333333333333333,2.66666666666667,"45-54","Northern America, Australia & New Zealand"
5,5,5,-2,1,-1,-3,-1,3,20,6,1,5,33,-1,1,"United States of America",-0.666666666666667,5,"65-75","Northern America, Australia & New Zealand"
4,3,3,0,1,-1,-3,-3,5,5,5,1,4,32,-1,0,"United Kingdom",0,3.33333333333333,"55-64","Europe"
4,4,4,2,2,2,NA,-3,3,0,5,1,4,33,1,0,"United States of America",2,4,"55-64","Northern America, Australia & New Zealand"
4,3,3,1,1,0,NA,-2,2,2,3,1,5,33,1,0,"United States of America",0.666666666666667,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
4,5,4,-1,2,-1,NA,-2,4,3,2,1,2,33,1,0,"United States of America",0,4.33333333333333,"25-34","Northern America, Australia & New Zealand"
5,5,5,0,1,-2,NA,-3,5,1,6,2,6,33,-1,0,"United States of America",-0.333333333333333,5,"65-75","Northern America, Australia & New Zealand"
5,4,4,0,0,-1,NA,-3,5,11,4,1,6,33,0,0,"United States of America",-0.333333333333333,4.33333333333333,"45-54","Northern America, Australia & New Zealand"
3,3,5,1,1,1,-3,-3,5,38,6,1,4,7,1,1,"Costa Rica",1,3.66666666666667,"65-75","South & Central America"
5,5,5,1,1,0,NA,-2,6,6,2,1,5,33,-2,1,"United States of America",0.666666666666667,5,"25-34","Northern America, Australia & New Zealand"
5,5,5,2,2,2,NA,-2,5,0,3,1,4,32,0,0,"United Kingdom",2,5,"35-44","Europe"
5,5,5,1,2,1,NA,-2,4,1,2,2,3,32,-1,0,"United Kingdom",1.33333333333333,5,"25-34","Europe"
4,4,4,1,1,0,NA,2,3,12,4,2,5,33,1,0,"United States of America",0.666666666666667,4,"45-54","Northern America, Australia & New Zealand"
3,2,3,2,2,2,NA,3,1,0,3,2,5,33,2,0,"United States of America",2,2.66666666666667,"35-44","Northern America, Australia & New Zealand"
4,4,4,0,1,0,NA,-2,5,6,4,1,7,21,1,0,"Philippines",0.333333333333333,4,"45-54","Eastern & South-Eastern Asia"
5,4,5,-2,2,-2,NA,-2,5,2,3,2,4,33,-1,0,"United States of America",-0.666666666666667,4.66666666666667,"35-44","Northern America, Australia & New Zealand"
3,3,4,2,2,1,2,2,1,9,3,1,6,32,1,0,"United Kingdom",1.66666666666667,3.33333333333333,"35-44","Europe"
5,5,5,-2,-1,-2,NA,-3,4,50,6,1,4,32,0,0,"United Kingdom",-1.66666666666667,5,"65-75","Europe"
4,3,4,-1,2,-2,1,-3,3,3,5,1,6,32,-1,0,"United Kingdom",-0.333333333333333,3.66666666666667,"55-64","Europe"
5,5,5,2,2,2,-3,-2,4,15,5,1,6,33,2,0,"United States of America",2,5,"55-64","Northern America, Australia & New Zealand"
4,4,4,0,1,-1,NA,2,5,6,4,1,2,33,1,0,"United States of America",0,4,"45-54","Northern America, Australia & New Zealand"
5,4,5,1,1,1,NA,-3,5,36,4,1,5,33,2,0,"United States of America",1,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
1,3,4,1,1,1,-3,-3,4,6,4,1,4,33,0,1,"United States of America",1,2.66666666666667,"45-54","Northern America, Australia & New Zealand"
5,5,5,2,2,2,-2,-2,2,21,3,2,6,33,2,1,"United States of America",2,5,"35-44","Northern America, Australia & New Zealand"
5,5,5,-2,-2,-2,NA,0,6,17,3,2,5,19,-2,1,"Malaysia",-2,5,"35-44","Eastern & South-Eastern Asia"
5,5,5,1,1,1,NA,-3,5,2,2,1,6,33,0,0,"United States of America",1,5,"25-34","Northern America, Australia & New Zealand"
4,4,4,1,1,0,1,-2,2,1,5,1,6,32,0,0,"United Kingdom",0.666666666666667,4,"55-64","Europe"
4,4,4,-1,0,-2,NA,-1,5,14,5,1,7,32,-2,1,"United Kingdom",-1,4,"55-64","Europe"
3,3,3,2,2,2,-1,-1,1,7,2,1,3,33,2,1,"United States of America",2,3,"25-34","Northern America, Australia & New Zealand"
3,3,3,2,2,1,2,3,1,9,3,2,2,33,2,0,"United States of America",1.66666666666667,3,"35-44","Northern America, Australia & New Zealand"
4,4,2,-1,1,-1,-3,-3,4,1,2,1,5,33,-1,1,"United States of America",-0.333333333333333,3.33333333333333,"25-34","Northern America, Australia & New Zealand"
2,1,3,1,2,2,NA,1,1,2,3,2,5,33,2,1,"United States of America",1.66666666666667,2,"35-44","Northern America, Australia & New Zealand"
5,5,5,2,1,1,NA,-3,6,6,5,2,5,26,2,0,"South Africa",1.33333333333333,5,"55-64","Africa"
4,4,4,0,0,-1,-3,-3,4,2,3,1,5,5,1,0,"Canada",-0.333333333333333,4,"35-44","Northern America, Australia & New Zealand"
5,4,5,-1,-1,-1,0,0,2,29,4,1,5,33,0,0,"United States of America",-1,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
5,5,5,2,2,2,NA,1,4,17,5,2,5,33,2,1,"United States of America",2,5,"55-64","Northern America, Australia & New Zealand"
4,3,5,0,1,0,NA,-3,5,10,5,2,4,19,0,1,"Malaysia",0.333333333333333,4,"55-64","Eastern & South-Eastern Asia"
5,5,5,1,1,1,-3,-3,2,50,6,2,5,26,2,1,"South Africa",1,5,"65-75","Africa"
4,3,3,-1,1,-2,NA,-2,6,31,6,2,6,33,-2,0,"United States of America",-0.666666666666667,3.33333333333333,"65-75","Northern America, Australia & New Zealand"
4,4,4,-2,0,-2,NA,-3,6,4,6,1,2,33,-1,0,"United States of America",-1.33333333333333,4,"65-75","Northern America, Australia & New Zealand"
4,3,3,1,1,0,NA,0,5,3,3,1,4,10,1,0,"France",0.666666666666667,3.33333333333333,"35-44","Europe"
4,4,3,-1,-1,-2,NA,-2,5,4,4,1,4,26,0,0,"South Africa",-1.33333333333333,3.66666666666667,"45-54","Africa"
5,5,5,-2,-2,-2,-2,-2,4,4,3,1,2,33,-2,0,"United States of America",-2,5,"35-44","Northern America, Australia & New Zealand"
3,3,4,2,2,0,2,0,2,10,5,2,3,32,1,0,"United Kingdom",1.33333333333333,3.33333333333333,"55-64","Europe"
5,5,5,0,2,0,NA,-2,5,2,5,1,6,33,0,0,"United States of America",0.666666666666667,5,"55-64","Northern America, Australia & New Zealand"
5,4,5,-1,0,-2,NA,-3,5,48,6,2,3,33,-1,1,"United States of America",-1,4.66666666666667,"65-75","Northern America, Australia & New Zealand"
4,4,4,-1,-1,-2,NA,1,5,1,2,1,5,28,-2,1,"Thailand",-1.33333333333333,4,"25-34","Eastern & South-Eastern Asia"
5,5,4,1,1,1,NA,-3,4,2,5,1,2,5,1,1,"Canada",1,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
4,4,2,0,1,0,NA,0,5,3,2,1,5,33,0,0,"United States of America",0.333333333333333,3.33333333333333,"25-34","Northern America, Australia & New Zealand"
2,2,2,2,2,2,NA,1,1,4,4,2,2,33,2,0,"United States of America",2,2,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,1,1,NA,-3,4,0,3,1,3,32,-1,0,"United Kingdom",0.666666666666667,3.66666666666667,"35-44","Europe"
3,3,4,-1,1,-2,NA,1,4,13,5,1,5,32,-1,0,"United Kingdom",-0.666666666666667,3.33333333333333,"55-64","Europe"
5,5,5,2,2,1,1,3,1,7,5,1,4,26,2,1,"South Africa",1.66666666666667,5,"55-64","Africa"
5,5,5,-1,0,-1,-3,-3,6,8,6,1,6,5,-1,1,"Canada",-0.666666666666667,5,"65-75","Northern America, Australia & New Zealand"
5,5,5,2,2,2,-3,-3,5,24,5,1,3,26,1,1,"South Africa",2,5,"55-64","Africa"
5,5,4,1,1,1,NA,-3,5,4,2,2,2,26,1,1,"South Africa",1,4.66666666666667,"25-34","Africa"
5,4,5,2,2,2,NA,0,4,30,4,1,4,33,2,0,"United States of America",2,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
5,4,4,2,1,1,NA,-3,5,54,6,1,4,26,1,1,"South Africa",1.33333333333333,4.33333333333333,"65-75","Africa"
3,3,3,1,-1,-1,-3,-3,5,2,2,1,4,33,-1,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
4,4,4,1,1,1,-2,-2,5,11,7,2,2,26,1,0,"South Africa",1,4,"75-85","Africa"
3,4,4,1,1,1,NA,-2,5,15,3,1,5,26,2,1,"South Africa",1,3.66666666666667,"35-44","Africa"
4,4,4,0,-1,-1,NA,-3,5,6,5,2,6,26,1,0,"South Africa",-0.666666666666667,4,"55-64","Africa"
4,3,4,2,2,2,2,1,2,3,4,1,2,33,1,1,"United States of America",2,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,2,0,0,-1,2,1,4,1,6,32,0,0,"United Kingdom",0.666666666666667,3.66666666666667,"45-54","Europe"
4,3,3,1,1,1,NA,-3,5,5,3,2,1,33,0,1,"United States of America",1,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
4,4,4,2,2,1,NA,-2,6,24,5,1,5,33,1,1,"United States of America",1.66666666666667,4,"55-64","Northern America, Australia & New Zealand"
4,4,4,-1,0,-1,NA,-3,5,1,5,2,5,19,-1,0,"Malaysia",-0.666666666666667,4,"55-64","Eastern & South-Eastern Asia"
5,5,5,2,2,2,NA,1,1,17,3,2,5,26,2,1,"South Africa",2,5,"35-44","Africa"
3,3,3,1,1,0,NA,0,2,12,6,2,5,27,1,1,"Spain",0.666666666666667,3,"65-75","Europe"
4,4,4,-2,-2,-2,-3,-3,5,20,6,1,4,3,-1,0,"Australia",-2,4,"65-75","Northern America, Australia & New Zealand"
1,1,1,1,2,-1,NA,0,2,11,6,2,5,3,0,0,"Australia",0.666666666666667,1,"65-75","Northern America, Australia & New Zealand"
