"probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w7_SE_quit","w5_SE_quit","w5_lifeSat","SE_start_recode","age","gender","edu","coded_country_num","w5_fin_strain01","w5_SE_employees_dich","coded_country"
4,4,5,2,2,2,-2,-2,2,27,6,2,4,11,2,0,"Germany"
3,1,4,-2,0,-2,-3,-3,4,17,4,2,5,11,-1,0,"Germany"
4,2,5,0,1,0,-3,-3,5,3,4,2,7,11,0,0,"Germany"
4,4,4,1,1,1,NA,1,3,12,4,2,5,12,1,0,"Greece"
4,4,5,1,1,1,-2,-2,5,21,4,1,6,12,1,0,"Greece"
4,4,4,0,0,0,-2,-2,5,5,4,1,6,12,0,0,"Greece"
5,4,3,0,1,-1,-3,-3,5,4,2,1,6,12,-2,0,"Greece"
4,4,5,0,1,-1,-1,-2,4,0,3,2,5,32,1,0,"United Kingdom"
3,3,4,1,1,1,-3,-3,4,36,5,2,5,12,0,1,"Greece"
4,4,4,1,1,0,-2,-2,6,8,3,1,5,12,1,0,"Greece"
4,4,4,1,1,1,-3,-3,5,NA,4,1,6,12,1,0,"Greece"
3,3,3,0,0,0,NA,-3,4,36,5,2,5,12,1,0,"Greece"
4,4,4,0,1,-1,0,-1,5,30,6,2,5,12,0,0,"Greece"
5,4,5,-2,-1,-2,NA,-3,6,28,4,1,5,12,-2,0,"Greece"
3,3,3,1,-1,0,NA,-3,5,8,4,1,6,9,1,0,"Cyprus"
5,5,5,0,1,0,NA,-3,5,8,5,2,5,12,0,1,"Greece"
5,5,2,-1,0,-2,NA,-2,6,14,3,1,6,12,-2,1,"Greece"
5,5,5,-1,2,-1,-3,-3,5,2,3,1,6,12,-1,0,"Greece"
4,3,4,-1,1,-1,2,1,3,28,5,1,5,12,0,0,"Greece"
4,5,4,1,1,1,NA,-3,5,0,2,1,7,12,1,0,"Greece"
4,3,4,-1,1,-1,-3,-3,5,23,4,2,6,12,0,0,"Greece"
4,3,4,1,1,1,NA,-3,6,28,5,2,2,12,2,0,"Greece"
5,3,4,2,1,2,NA,1,5,27,5,2,4,12,1,0,"Greece"
3,3,3,1,1,1,NA,-2,5,20,5,2,5,12,1,1,"Greece"
3,3,3,-1,1,-1,NA,0,3,3,2,1,3,33,2,0,"United States of America"
3,2,4,1,1,1,NA,-1,4,10,3,2,4,33,1,1,"United States of America"
5,5,4,-1,2,-1,NA,-3,5,9,5,1,6,33,-2,0,"United States of America"
4,4,4,-2,2,-2,-3,-3,6,1,2,2,7,33,-2,0,"United States of America"
5,5,5,-2,1,-2,NA,-2,5,5,4,1,6,33,-1,1,"United States of America"
4,3,4,0,1,-1,-2,-3,4,1,2,1,6,33,0,0,"United States of America"
4,3,4,1,1,1,NA,0,4,1,2,1,2,33,0,1,"United States of America"
4,4,4,2,2,2,NA,0,5,19,3,1,5,33,0,0,"United States of America"
4,4,4,0,1,0,-2,-2,4,14,5,1,6,33,-1,1,"United States of America"
5,5,5,2,1,1,NA,-2,6,0,5,1,5,26,1,0,"South Africa"
3,3,2,0,1,0,-3,-3,4,1,4,1,2,33,0,0,"United States of America"
5,5,5,-2,1,-1,-3,-1,3,20,6,1,5,33,-1,1,"United States of America"
4,3,3,0,1,-1,-3,-3,5,5,5,1,4,32,-1,0,"United Kingdom"
4,4,4,2,2,2,NA,-3,3,0,5,1,4,33,1,0,"United States of America"
5,5,5,1,0,1,-3,0,6,14,4,NA,5,33,0,0,"United States of America"
4,3,3,1,1,0,NA,-2,2,2,3,1,5,33,1,0,"United States of America"
4,5,4,-1,2,-1,NA,-2,4,3,2,1,2,33,1,0,"United States of America"
5,5,5,0,1,-2,NA,-3,5,1,6,2,6,33,-1,0,"United States of America"
5,4,4,0,0,-1,NA,-3,5,11,4,1,6,33,0,0,"United States of America"
3,3,5,1,1,1,-3,-3,5,38,6,1,4,7,1,1,"Costa Rica"
5,5,5,1,1,0,NA,-2,6,6,2,1,5,33,-2,1,"United States of America"
5,5,5,2,2,2,NA,-2,5,0,3,1,4,32,0,0,"United Kingdom"
5,5,5,1,2,1,NA,-2,4,1,2,2,3,32,-1,0,"United Kingdom"
4,4,4,1,1,0,NA,2,3,12,4,2,5,33,1,0,"United States of America"
3,2,3,2,2,2,NA,3,1,0,3,2,5,33,2,0,"United States of America"
4,4,4,0,1,0,NA,-2,5,6,4,1,7,21,1,0,"Philippines"
5,4,5,-2,2,-2,NA,-2,5,2,3,2,4,33,-1,0,"United States of America"
3,3,4,2,2,1,2,2,1,9,3,1,6,32,1,0,"United Kingdom"
5,5,5,-2,-1,-2,NA,-3,4,50,6,1,4,32,0,0,"United Kingdom"
4,3,4,-1,2,-2,1,-3,3,3,5,1,6,32,-1,0,"United Kingdom"
5,5,5,2,2,2,-3,-2,4,15,5,1,6,33,2,0,"United States of America"
4,4,4,0,1,-1,NA,2,5,6,4,1,2,33,1,0,"United States of America"
5,4,5,1,1,1,NA,-3,5,36,4,1,5,33,2,0,"United States of America"
1,3,4,1,1,1,-3,-3,4,6,4,1,4,33,0,1,"United States of America"
5,5,5,2,2,2,-2,-2,2,21,3,2,6,33,2,1,"United States of America"
5,5,5,-2,-2,-2,NA,0,6,17,3,2,5,19,-2,1,"Malaysia"
5,5,5,1,1,1,NA,-3,5,2,2,1,6,33,0,0,"United States of America"
4,4,4,1,1,0,1,-2,2,1,5,1,6,32,0,0,"United Kingdom"
4,4,4,-1,0,-2,NA,-1,5,14,5,1,7,32,-2,1,"United Kingdom"
3,3,3,2,2,2,-1,-1,1,7,2,1,3,33,2,1,"United States of America"
3,3,3,2,2,1,2,3,1,9,3,2,2,33,2,0,"United States of America"
4,4,2,-1,1,-1,-3,-3,4,1,2,1,5,33,-1,1,"United States of America"
2,1,3,1,2,2,NA,1,1,2,3,2,5,33,2,1,"United States of America"
5,5,5,2,1,1,NA,-3,6,6,5,2,5,26,2,0,"South Africa"
4,4,4,0,0,-1,-3,-3,4,2,3,1,5,5,1,0,"Canada"
5,4,5,-1,-1,-1,0,0,2,29,4,1,5,33,0,0,"United States of America"
5,5,5,2,2,2,NA,1,4,17,5,2,5,33,2,1,"United States of America"
4,3,5,0,1,0,NA,-3,5,10,5,2,4,19,0,1,"Malaysia"
5,5,5,1,1,1,-3,-3,2,50,6,2,5,26,2,1,"South Africa"
4,3,3,-1,1,-2,NA,-2,6,31,6,2,6,33,-2,0,"United States of America"
4,4,4,-2,0,-2,NA,-3,6,4,6,1,2,33,-1,0,"United States of America"
4,3,3,1,1,0,NA,0,5,3,3,1,4,10,1,0,"France"
4,4,3,-1,-1,-2,NA,-2,5,4,4,1,4,26,0,0,"South Africa"
5,5,5,-2,-2,-2,-2,-2,4,4,3,1,2,33,-2,0,"United States of America"
3,3,4,2,2,0,2,0,2,10,5,2,3,32,1,0,"United Kingdom"
5,5,5,0,2,0,NA,-2,5,2,5,1,6,33,0,0,"United States of America"
5,4,5,-1,0,-2,NA,-3,5,48,6,2,3,33,-1,1,"United States of America"
4,4,4,-1,-1,-2,NA,1,5,1,2,1,5,28,-2,1,"Thailand"
5,5,4,1,1,1,NA,-3,4,2,5,1,2,5,1,1,"Canada"
4,4,2,0,1,0,NA,0,5,3,2,1,5,33,0,0,"United States of America"
2,2,2,2,2,2,NA,1,1,4,4,2,2,33,2,0,"United States of America"
4,3,4,0,1,1,NA,-3,4,0,3,1,3,32,-1,0,"United Kingdom"
3,3,4,-1,1,-2,NA,1,4,13,5,1,5,32,-1,0,"United Kingdom"
5,5,5,2,2,1,1,3,1,7,5,1,4,26,2,1,"South Africa"
5,5,5,-1,0,-1,-3,-3,6,8,6,1,6,5,-1,1,"Canada"
5,5,5,2,2,2,-3,-3,5,24,5,1,3,26,1,1,"South Africa"
5,5,4,1,1,1,NA,-3,5,4,2,2,2,26,1,1,"South Africa"
5,4,5,2,2,2,NA,0,4,30,4,1,4,33,2,0,"United States of America"
5,4,4,2,1,1,NA,-3,5,54,6,1,4,26,1,1,"South Africa"
3,3,3,1,-1,-1,-3,-3,5,2,2,1,4,33,-1,0,"United States of America"
4,4,4,1,1,1,-2,-2,5,11,7,2,2,26,1,0,"South Africa"
4,3,3,1,1,1,-2,-2,4,31,NA,2,5,31,1,0,"United Arab Emirates"
3,4,4,1,1,1,NA,-2,5,15,3,1,5,26,2,1,"South Africa"
4,4,4,0,-1,-1,NA,-3,5,6,5,2,6,26,1,0,"South Africa"
4,3,4,2,2,2,2,1,2,3,4,1,2,33,1,1,"United States of America"
4,3,4,0,2,0,0,-1,2,1,4,1,6,32,0,0,"United Kingdom"
5,5,5,1,1,1,NA,-1,3,NA,4,1,4,33,1,0,"United States of America"
4,3,3,1,1,1,NA,-3,5,5,3,2,1,33,0,1,"United States of America"
4,4,4,2,2,1,NA,-2,6,24,5,1,5,33,1,1,"United States of America"
4,4,4,-1,0,-1,NA,-3,5,1,5,2,5,19,-1,0,"Malaysia"
5,5,5,2,2,2,NA,1,1,17,3,2,5,26,2,1,"South Africa"
3,3,3,1,1,0,NA,0,2,12,6,2,5,27,1,1,"Spain"
4,4,4,-2,-2,-2,-3,-3,5,20,6,1,4,3,-1,0,"Australia"
1,1,1,1,2,-1,NA,0,2,11,6,2,5,3,0,0,"Australia"
5,5,5,0,1,-1,NA,2,6,3,3,1,5,33,-1,0,"United States of America"
4,4,3,-1,-1,-2,NA,-2,5,20,4,2,5,5,-2,1,"Canada"
4,5,2,1,2,1,NA,0,5,2,2,1,5,19,1,1,"Malaysia"
1,1,1,0,1,-1,NA,-3,4,9,3,1,6,19,0,0,"Malaysia"
5,5,5,0,1,-1,-3,-3,5,5,5,1,2,33,-1,0,"United States of America"
3,3,3,-1,1,0,-3,-3,5,39,6,1,6,33,1,0,"United States of America"
4,2,4,2,2,0,-3,0,3,1,3,1,4,3,2,0,"Australia"
5,5,4,2,2,2,-3,-2,4,42,7,2,2,26,2,0,"South Africa"
5,4,3,2,2,2,-1,1,3,1,5,2,2,26,2,0,"South Africa"
4,4,3,-2,-2,-2,-3,-3,6,47,6,1,6,3,-2,1,"Australia"
4,3,5,1,2,1,-2,-2,4,19,5,1,6,26,1,0,"South Africa"
4,4,4,1,1,0,NA,-2,4,1,5,1,2,26,1,0,"South Africa"
4,4,4,2,2,2,-3,-3,5,30,5,2,5,3,1,0,"Australia"
4,4,4,-1,0,-1,-3,-3,6,34,6,1,2,5,-1,0,"Canada"
5,5,5,-2,2,-2,-3,-3,6,10,3,1,2,5,-2,1,"Canada"
4,4,4,0,2,0,-3,-3,3,29,6,1,7,18,0,0,"Lithuania"
3,3,3,0,-1,-1,-2,-3,5,0,3,1,5,19,-1,0,"Malaysia"
5,5,5,-2,1,-2,-3,-3,6,15,4,2,3,5,-2,0,"Canada"
5,5,5,1,1,1,-3,-3,5,8,3,1,4,26,1,0,"South Africa"
5,5,5,1,0,0,NA,-3,5,NA,4,1,5,26,1,0,"South Africa"
3,3,5,1,-2,-1,NA,-2,5,1,4,1,6,33,1,0,"United States of America"
4,5,2,-1,1,1,-2,-2,4,24,5,2,4,26,-1,1,"South Africa"
4,4,4,-1,1,-1,NA,2,4,16,3,1,4,27,-1,0,"Spain"
5,4,5,0,1,0,0,-3,4,30,5,2,5,2,0,0,"Argentina"
4,4,3,0,0,0,NA,-3,5,19,5,2,2,2,1,1,"Argentina"
3,4,4,1,1,1,NA,-2,4,20,4,1,2,2,1,0,"Argentina"
3,2,3,0,1,0,NA,-2,2,20,5,2,5,27,0,1,"Spain"
5,5,5,1,1,1,-3,-3,5,13,5,1,6,2,2,0,"Argentina"
5,4,5,0,-1,-1,0,-2,5,5,4,1,5,27,0,0,"Spain"
5,4,4,2,2,2,-2,-3,2,23,6,1,5,2,1,0,"Argentina"
4,4,4,-2,-2,-2,-3,-3,6,9,4,1,6,27,-1,0,"Spain"
5,4,5,0,2,1,NA,1,5,11,6,2,5,2,1,0,"Argentina"
3,4,5,1,1,1,-3,-2,5,10,6,2,3,2,0,0,"Argentina"
4,4,3,2,1,1,NA,-1,2,0,2,1,5,6,2,0,"Colombia"
5,4,4,-1,1,0,-1,-2,4,12,3,1,6,2,-1,0,"Argentina"
4,5,4,1,1,1,NA,0,5,5,5,2,2,27,2,0,"Spain"
4,4,4,1,0,0,0,-2,5,5,4,2,5,27,0,0,"Spain"
4,4,4,1,0,-1,NA,-2,5,11,3,2,4,2,1,0,"Argentina"
5,5,5,1,2,1,-3,-3,1,6,5,2,4,27,1,1,"Spain"
4,3,4,1,1,1,NA,-3,5,2,2,1,6,27,1,1,"Spain"
4,3,3,-1,1,-1,-3,-3,4,22,6,2,3,27,0,0,"Spain"
4,4,5,0,2,1,-3,-3,6,26,5,2,7,2,0,1,"Argentina"
5,2,5,0,2,0,0,0,5,14,5,1,5,27,0,1,"Spain"
5,5,5,-2,2,-2,-2,1,5,1,3,1,6,27,-1,0,"Spain"
4,3,4,-1,0,-1,-3,-3,4,49,6,2,3,10,-2,0,"France"
3,4,4,1,1,2,NA,3,3,10,3,2,5,1,2,1,"Algeria"
5,1,4,-1,-2,-2,-3,-3,6,3,5,2,6,10,-2,0,"France"
4,5,5,-2,-2,-2,NA,-3,6,42,5,1,6,10,-2,0,"France"
5,2,5,-1,1,0,-2,-3,5,2,3,2,6,10,0,0,"France"
4,3,4,-1,-2,-2,0,-2,6,3,2,1,6,8,-1,0,"Croatia"
4,2,5,0,1,0,0,1,2,1,2,1,6,8,0,1,"Croatia"
4,3,5,-1,1,2,NA,-2,5,1,2,2,2,13,0,0,"Hungary"
4,4,4,-2,1,-2,-3,-3,6,9,2,1,7,13,-2,0,"Hungary"
5,1,5,1,2,1,NA,1,4,4,1,2,3,14,0,1,"Indonesia"
4,3,3,-1,1,0,1,1,5,2,2,2,5,14,0,1,"Indonesia"
2,2,3,-2,-1,-2,-3,-3,4,34,5,2,4,15,-2,0,"Italy"
4,4,4,-1,2,0,NA,-3,3,2,2,1,6,15,-2,0,"Italy"
2,1,1,0,1,0,-3,-3,5,4,4,1,4,15,1,1,"Italy"
5,5,5,0,1,0,NA,-3,5,12,3,1,6,15,0,0,"Italy"
5,4,5,0,2,0,NA,-3,5,37,6,2,6,15,1,1,"Italy"
5,4,4,-1,0,-1,-2,-2,6,40,6,2,5,15,-1,1,"Italy"
3,3,3,2,1,1,1,0,4,10,5,1,6,15,1,0,"Italy"
5,5,5,1,1,1,-3,-3,2,6,5,1,4,15,2,0,"Italy"
3,3,3,1,1,1,NA,0,4,16,5,2,4,15,0,0,"Italy"
3,3,3,0,0,-1,3,3,2,13,3,1,6,15,0,0,"Italy"
5,5,4,0,1,0,2,1,3,44,6,2,6,15,1,1,"Italy"
4,4,4,1,1,1,NA,1,3,13,3,2,4,15,1,1,"Italy"
5,5,5,2,2,2,-3,-2,4,15,5,2,3,15,1,0,"Italy"
5,5,5,-2,-1,-2,NA,-3,5,18,2,2,4,15,-2,1,"Italy"
4,5,4,1,1,1,NA,-3,5,1,4,1,4,15,0,0,"Italy"
4,4,4,1,1,1,NA,-3,3,36,5,2,4,15,2,0,"Italy"
5,5,5,1,1,0,NA,-3,4,36,6,2,7,15,1,0,"Italy"
3,4,4,1,2,1,-2,1,5,1,2,2,6,18,2,0,"Lithuania"
4,4,4,-2,0,-2,-3,-2,4,4,3,2,6,15,-1,0,"Italy"
3,3,3,1,1,-1,-3,-2,5,12,4,1,7,15,-1,1,"Italy"
4,3,4,0,1,-1,3,3,2,8,4,2,2,15,1,0,"Italy"
3,3,3,-1,1,0,0,0,4,19,4,1,6,15,0,0,"Italy"
4,3,5,2,2,2,0,1,2,33,5,2,4,15,2,0,"Italy"
2,2,2,0,1,-1,-1,-2,4,22,5,2,5,16,1,1,"Japan"
4,4,4,-1,0,-1,-2,-2,4,17,7,2,5,16,0,1,"Japan"
3,1,3,1,1,-1,-2,-1,4,41,6,2,5,16,2,1,"Japan"
3,2,3,0,0,0,0,0,3,8,5,2,5,16,0,1,"Japan"
4,4,5,1,2,1,2,0,3,11,3,2,5,19,2,0,"Malaysia"
2,2,2,0,1,0,NA,0,4,3,5,2,2,19,-1,1,"Malaysia"
5,5,4,-1,1,-1,-3,-1,5,3,2,1,6,20,1,1,"Netherlands"
4,3,5,0,0,0,-2,-3,5,28,4,2,5,20,0,0,"Netherlands"
5,5,5,-2,1,-2,-3,-3,5,24,5,1,6,20,-2,0,"Netherlands"
5,3,4,-2,1,-2,-3,-2,5,8,5,1,7,20,-1,1,"Netherlands"
4,4,4,0,2,-2,NA,1,4,10,4,1,6,20,0,0,"Netherlands"
4,3,5,-2,0,-2,2,1,5,13,7,2,4,20,-2,1,"Netherlands"
3,2,4,-1,0,-2,-2,-3,5,9,4,2,5,20,0,0,"Netherlands"
3,2,4,-2,1,-2,-2,-3,5,36,4,2,3,20,0,0,"Netherlands"
2,3,3,0,1,0,-1,0,4,3,2,1,6,22,0,0,"Poland"
3,3,4,-1,0,-1,-3,-3,3,5,3,1,5,4,0,0,"Brazil"
5,5,5,1,1,1,2,2,2,11,7,1,4,4,1,1,"Brazil"
4,3,4,-2,-2,-2,NA,-3,5,13,6,2,5,4,-1,0,"Brazil"
5,5,4,0,1,-1,-3,-3,6,6,4,2,2,4,0,1,"Brazil"
5,4,5,-1,-1,0,NA,-2,5,23,4,1,5,4,-1,1,"Brazil"
5,2,3,2,2,2,-2,-1,6,3,4,1,2,4,1,1,"Brazil"
4,3,4,0,1,-1,-3,-3,5,1,3,1,4,4,1,0,"Brazil"
3,2,4,-1,1,-1,-1,-3,4,2,2,1,2,4,-1,0,"Brazil"
5,5,3,1,2,1,1,0,2,2,4,1,4,4,2,0,"Brazil"
4,4,4,2,2,2,-3,0,5,3,5,2,6,4,2,0,"Brazil"
5,4,5,2,2,2,-3,-3,4,10,4,2,2,4,1,1,"Brazil"
5,4,5,2,2,2,NA,3,1,1,3,2,4,4,2,0,"Brazil"
5,5,5,0,0,-1,-2,-3,5,13,6,2,3,4,-1,0,"Brazil"
5,5,5,1,2,-1,NA,-3,6,33,5,1,7,4,0,1,"Brazil"
4,4,5,1,2,1,-3,-3,4,50,5,2,3,4,2,NA,"Brazil"
4,4,5,1,1,1,-2,-2,4,14,6,2,5,24,1,0,"Romania"
5,5,4,-2,-1,-2,NA,-3,6,1,2,1,6,24,-2,0,"Romania"
4,4,4,-2,-2,-2,-2,-2,5,0,2,2,5,24,-1,1,"Romania"
5,3,3,-1,1,-1,NA,1,5,7,3,2,3,17,1,1,"Kazakhstan"
5,5,5,2,2,2,-1,0,5,9,3,2,5,17,2,0,"Kazakhstan"
4,2,4,0,1,-1,NA,1,4,3,4,2,5,25,0,0,"Russia"
5,5,5,-2,2,-2,-3,-3,4,6,3,2,4,17,-1,1,"Kazakhstan"
5,3,4,-1,0,-1,NA,-3,4,1,3,2,7,25,0,0,"Russia"
4,2,2,0,1,0,-3,-2,2,6,4,2,2,25,1,1,"Russia"
4,3,4,1,2,0,1,-1,4,9,5,2,5,23,1,1,"Republic of Serbia"
5,5,5,1,1,0,NA,2,3,1,5,1,3,23,0,0,"Republic of Serbia"
3,5,5,-2,-2,-1,-2,-2,6,11,3,1,5,23,-2,0,"Republic of Serbia"
4,4,4,1,1,1,1,-3,3,2,3,1,3,23,1,1,"Republic of Serbia"
4,3,4,2,1,1,2,2,2,0,4,2,3,23,2,0,"Republic of Serbia"
4,4,4,0,0,-2,-2,-2,5,35,5,1,2,23,0,0,"Republic of Serbia"
5,5,4,-1,1,-1,-3,-3,6,1,3,1,6,23,-2,0,"Republic of Serbia"
5,5,5,0,2,-1,NA,-3,2,23,5,2,6,29,-1,1,"Turkey"
5,5,5,1,1,1,NA,-2,4,5,3,1,6,30,1,0,"Ukraine"
5,5,5,-1,1,-1,NA,-2,6,NA,5,2,6,30,0,0,"Ukraine"
